original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
6,2,0.57,0.906096,0.59,0.852459,0.89,0.104645,0.91,0.0630975,0.572273058,0.892235995,0.319962937
2,1,0.47,0.900489,0.49,0.872727,0.79,0.12568,0.81,0.0886628,0.47035228,0.803874631,0.333522351
12,2,0.55,0.91134,0.57,0.89009,0.89,0.110221,0.91,0.0777832,0.560672941,0.896301907,0.335628966
17,2,0.49,0.917258,0.51,0.884393,0.83,0.119139,0.85,0.079396,0.500502358,0.839631382,0.339129023
15,4,0.59,0.902692,0.61,0.887661,0.93,0.115061,0.95,0.0780039,0.593581931,0.938128537,0.344546606
10,1,0.45,0.915842,0.47,0.894515,0.81,0.101304,0.83,0.0706522,0.464856285,0.810850847,0.345994562
20,1,0.49,0.909302,0.51,0.843697,0.83,0.124625,0.85,0.0848671,0.492835759,0.842387475,0.349551716
10,3,0.55,0.901734,0.57,0.867896,0.89,0.126601,0.91,0.0892775,0.551024883,0.90425429,0.353229407
13,2,0.53,0.90884,0.55,0.884058,0.89,0.10183,0.91,0.0658144,0.53713421,0.891016226,0.353882016
8,1,0.51,0.912664,0.53,0.886228,0.87,0.105108,0.89,0.0770751,0.519580875,0.873644289,0.354063415
20,2,0.51,0.918129,0.53,0.891775,0.87,0.116635,0.89,0.0823084,0.523758063,0.879692192,0.355934129
15,2,0.47,0.919598,0.49,0.893411,0.83,0.121817,0.85,0.0856721,0.484967732,0.842071966,0.357104234
12,3,0.57,0.921519,0.59,0.89648,0.93,0.129477,0.95,0.0920926,0.587188386,0.945769679,0.358581293
7,3,0.53,0.901639,0.55,0.864762,0.87,0.163462,0.89,0.0990991,0.530888901,0.889720056,0.358831155
2,3,0.53,0.921569,0.55,0.871036,0.89,0.118434,0.91,0.0793576,0.5385366,0.899434851,0.360898251
16,1,0.55,0.907527,0.57,0.9,0.93,0.104624,0.95,0.0896092,0.57,0.936159256,0.366159256
20,3,0.55,0.928125,0.57,0.887689,0.93,0.102088,0.95,0.0653153,0.563910872,0.931135625,0.367224754
19,3,0.53,0.919571,0.55,0.895787,0.91,0.105367,0.93,0.0821346,0.546457282,0.914620272,0.368162989
10,2,0.47,0.936102,0.49,0.898734,0.85,0.118922,0.87,0.086043,0.489322415,0.861510082,0.372187668
17,1,0.41,0.940945,0.43,0.885246,0.79,0.119633,0.81,0.0709512,0.424702239,0.798065848,0.373363609
12,1,0.47,0.914676,0.49,0.880668,0.85,0.105852,0.87,0.0639764,0.47863091,0.852794945,0.374164035
19,1,0.43,0.942857,0.45,0.881696,0.81,0.112683,0.83,0.0868002,0.444014486,0.819800331,0.375785844
17,3,0.49,0.941606,0.51,0.88141,0.87,0.132353,0.89,0.0750736,0.50382351,0.881296557,0.377473047
18,2,0.55,0.908297,0.57,0.890034,0.93,0.113163,0.95,0.0781112,0.55908613,0.937510599,0.378424468
3,1,0.43,0.924051,0.45,0.889764,0.81,0.131863,0.83,0.0927052,0.444029224,0.826274152,0.382244928
6,1,0.45,0.916667,0.47,0.889251,0.83,0.126098,0.85,0.0921256,0.462158594,0.845364237,0.383205643
19,4,0.59,0.906667,0.61,0.86214,0.97,0.10746,0.99,0.0860886,0.592994588,0.976981293,0.383986705
15,1,0.39,0.940959,0.41,0.898844,0.79,0.106405,0.81,0.0750247,0.409451027,0.794082179,0.384631152
5,3,0.53,0.909357,0.55,0.870813,0.91,0.114379,0.93,0.084343,0.53485523,0.919574511,0.38471928
1,1,0.45,0.942029,0.47,0.891697,0.85,0.118389,0.87,0.0776553,0.466700707,0.859028888,0.39232818
11,1,0.47,0.901235,0.49,0.883721,0.85,0.131268,0.87,0.0887179,0.4714103,0.864697028,0.393286727
19,2,0.45,0.944223,0.47,0.893891,0.85,0.133266,0.87,0.0997009,0.467572518,0.869821779,0.402249261
8,2,0.51,0.902439,0.53,0.880259,0.91,0.121463,0.93,0.0896752,0.512199279,0.923503923,0.411304644
15,3,0.47,0.902913,0.49,0.885417,0.89,0.100196,0.91,0.0607365,0.473329904,0.890099342,0.416769438
5,1,0.41,0.914573,0.43,0.865546,0.83,0.103803,0.85,0.0864837,0.415944888,0.834391632,0.418446745
7,1,0.37,0.970238,0.39,0.899522,0.79,0.136157,0.81,0.0982278,0.389864811,0.809065522,0.419200711
4,1,0.47,0.921182,0.49,0.892473,0.89,0.138514,0.91,0.0851163,0.484756348,0.90442534,0.419668992
7,2,0.43,0.914573,0.45,0.873563,0.85,0.123457,0.87,0.0742049,0.437107047,0.859525279,0.422418232
14,1,0.47,0.932143,0.49,0.897281,0.91,0.106333,0.93,0.0739151,0.488440135,0.913907101,0.425466965
2,4,0.47,0.942529,0.49,0.886957,0.95,0.107598,0.97,0.0910881,0.485305909,0.959204174,0.473898265
5,2,0.37,0.918919,0.39,0.893443,0.87,0.129602,0.89,0.0807891,0.38485241,0.882128761,0.497276351
2,2,0.33,0.913043,0.35,0.882353,0.83,0.145538,0.85,0.0906801,0.338499837,0.846602167,0.50810233
11,2,0.35,0.944444,0.37,0.875,0.89,0.148752,0.91,0.0972018,0.362799954,0.908914379,0.546114425
4,2,0.35,0.909091,0.37,0.894737,0.95,0.123783,0.97,0.0908619,0.362666852,0.964448484,0.601781632
1,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,2,0.29,1,0.31,0.75,0.87,0.101158,0.89,0.0722777,0.298,0.870801931,NAN
3,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,7,0.55,10000,0.57,0,0.55,10000,0.57,0,0.5699982,0.5699998,NAN
3,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,3,0.37,1,0.39,0.842105,0.93,0.107487,0.95,0.0772812,0.382666646,0.934957326,NAN
6,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
