original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
4,2,0.57,0.915905,0.59,0.863222,0.89,0.106647,0.91,0.0657574,0.576038001,0.893251193,0.317213193,0.042568383,0.000803177
18,1,0.47,0.928726,0.49,0.886926,0.79,0.136847,0.81,0.0991313,0.483744498,0.809539343,0.325794845,,
8,3,0.61,0.906054,0.63,0.878049,0.93,0.128325,0.95,0.0903955,0.614323514,0.944935604,0.330612091,,
13,1,0.53,0.918552,0.55,0.886,0.87,0.10723,0.89,0.0825819,0.541398378,0.875866578,0.3344682,,
5,3,0.57,0.913306,0.59,0.85968,0.91,0.100049,0.93,0.0624721,0.574962518,0.91002608,0.335063562,,
6,3,0.59,0.90224,0.61,0.888689,0.91,0.127574,0.93,0.0976984,0.593306029,0.928459211,0.335153182,,
17,1,0.49,0.913043,0.51,0.899573,0.83,0.130909,0.85,0.097561,0.509365999,0.848537244,0.339171245,,
6,2,0.53,0.923077,0.55,0.895954,0.87,0.129952,0.89,0.0965483,0.547016554,0.887933343,0.340916788,,
14,3,0.55,0.922607,0.57,0.886691,0.89,0.141429,0.91,0.0900474,0.562588818,0.906126006,0.343537188,,
13,2,0.57,0.911168,0.59,0.887168,0.91,0.122931,0.93,0.0878505,0.579306667,0.92307336,0.343766693,,
15,3,0.59,0.922705,0.61,0.891993,0.95,0.100407,0.97,0.0874179,0.604785751,0.950626679,0.345840928,,
7,3,0.59,0.911007,0.61,0.872659,0.93,0.120375,0.95,0.0872795,0.595740586,0.942312852,0.346572266,,
4,3,0.59,0.92629,0.61,0.883041,0.95,0.101992,0.97,0.0598864,0.602157507,0.950946192,0.348788686,,
3,1,0.53,0.931319,0.55,0.899782,0.89,0.122338,0.91,0.0761859,0.54986175,0.899680166,0.349818417,,
11,3,0.59,0.905063,0.61,0.882671,0.93,0.110229,0.95,0.0961362,0.594522151,0.944516633,0.349994482,,
17,3,0.57,0.941667,0.59,0.88521,0.93,0.107979,0.95,0.0822695,0.584760614,0.936207044,0.35144643,,
3,2,0.59,0.902632,0.61,0.896861,0.95,0.102723,0.97,0.0810526,0.599121469,0.952513105,0.353391636,,
