original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
9,4,0.33,0.902056,0.35,0.853583,0.59,0.12649,0.61,0.0926756,0.330848307,0.605667881,0.274819574,0.034606251,0.002491012
20,5,0.39,0.904822,0.41,0.867542,0.65,0.142119,0.67,0.0979713,0.39258691,0.669080949,0.276494039,,
20,3,0.29,0.915694,0.31,0.887789,0.57,0.114913,0.59,0.0779543,0.301248163,0.578070089,0.276821926,,
9,6,0.41,0.91601,0.43,0.890034,0.69,0.121212,0.71,0.0813253,0.422326763,0.700636127,0.278309364,,
20,4,0.33,0.919283,0.35,0.882497,0.61,0.119497,0.63,0.0790514,0.34048388,0.619641098,0.279157218,,
14,4,0.33,0.919154,0.35,0.87638,0.61,0.111906,0.63,0.0865687,0.338955908,0.619398002,0.280442094,,
3,3,0.27,0.928783,0.29,0.875912,0.55,0.115551,0.57,0.0895813,0.28088801,0.561976265,0.281088254,,
13,1,0.19,0.910468,0.21,0.89711,0.47,0.146454,0.49,0.0942623,0.205673005,0.487801298,0.282128293,,
10,3,0.27,0.92846,0.29,0.879747,0.55,0.135618,0.57,0.0896345,0.281684766,0.565491644,0.283806878,,
14,3,0.29,0.904199,0.31,0.868421,0.57,0.113625,0.59,0.0733668,0.292347253,0.576768807,0.284421555,,
14,2,0.23,0.921811,0.25,0.887059,0.51,0.134067,0.53,0.0951447,0.242552371,0.527505132,0.284952761,,
18,4,0.33,0.936599,0.35,0.888255,0.63,0.10151,0.65,0.0562099,0.345141072,0.630666665,0.285525593,,
9,1,0.17,0.910909,0.19,0.896648,0.47,0.101112,0.49,0.0764137,0.185299067,0.470900467,0.285601399,,
5,2,0.23,0.927383,0.25,0.886999,0.51,0.145689,0.53,0.098369,0.243561311,0.529310651,0.285749339,,
3,8,0.51,0.900726,0.53,0.854271,0.79,0.114,0.81,0.0712531,0.510312561,0.796550183,0.286237622,,
17,4,0.35,0.900232,0.37,0.84378,0.63,0.113834,0.65,0.071599,0.350082194,0.636550965,0.286468771,,
14,10,0.61,0.905852,0.63,0.857442,0.89,0.113625,0.91,0.0834106,0.612417682,0.899018878,0.286601196,,
6,3,0.29,0.903394,0.31,0.880682,0.57,0.120434,0.59,0.0789474,0.292988728,0.579850892,0.286862163,,
10,5,0.37,0.923077,0.39,0.864989,0.65,0.13174,0.67,0.0900856,0.377945531,0.665239687,0.287294156,,
17,11,0.63,0.938907,0.65,0.898426,0.93,0.110319,0.95,0.0807839,0.649222351,0.936987618,0.287765267,,
17,7,0.47,0.902834,0.49,0.891735,0.75,0.120984,0.77,0.0885496,0.475106766,0.762939348,0.287832582,,
13,3,0.29,0.910162,0.31,0.861768,0.57,0.125254,0.59,0.0833749,0.294199694,0.582060431,0.287860737,,
3,1,0.17,0.909584,0.19,0.895688,0.47,0.101939,0.49,0.0821159,0.183793898,0.471956304,0.288162406,,
10,1,0.19,0.912102,0.21,0.87067,0.47,0.128803,0.49,0.0877727,0.195841861,0.484039868,0.288198007,,
18,1,0.19,0.916667,0.21,0.876836,0.47,0.158869,0.49,0.0896483,0.198368858,0.487009074,0.288640215,,
18,3,0.29,0.905276,0.31,0.873303,0.57,0.129157,0.59,0.0815324,0.293300285,0.582244512,0.288944228,,
16,3,0.27,0.932264,0.29,0.892697,0.57,0.107838,0.59,0.0783224,0.28630854,0.57531109,0.28900255,,
3,4,0.31,0.904692,0.33,0.894231,0.59,0.143932,0.61,0.0960699,0.318970462,0.60835774,0.289387279,,
8,2,0.25,0.905563,0.27,0.866286,0.53,0.123125,0.55,0.086,0.252832701,0.542457912,0.289625211,,
15,2,0.23,0.917323,0.25,0.880649,0.53,0.100152,0.55,0.0580222,0.23944702,0.530072158,0.290625138,,
10,2,0.23,0.910112,0.25,0.865789,0.51,0.139428,0.53,0.0893313,0.234562868,0.525740757,0.291177889,,
14,9,0.55,0.913889,0.57,0.880184,0.83,0.146154,0.85,0.0986614,0.558241507,0.849436291,0.291194784,,
16,8,0.51,0.924503,0.53,0.880048,0.81,0.102323,0.83,0.0820388,0.521023732,0.812290453,0.291266721,,
13,7,0.47,0.910692,0.49,0.869021,0.75,0.126537,0.77,0.0945946,0.475131626,0.766615533,0.291483907,,
6,1,0.19,0.910615,0.21,0.859473,0.47,0.130061,0.49,0.0916708,0.194151187,0.485660768,0.291509581,,
5,7,0.47,0.918075,0.49,0.868798,0.75,0.136643,0.77,0.0978767,0.47733608,0.768904564,0.291568484,,
5,1,0.19,0.91018,0.21,0.885542,0.49,0.100344,0.51,0.0623403,0.198263658,0.490181035,0.291917377,,
15,3,0.27,0.938931,0.29,0.889328,0.57,0.111168,0.59,0.0820253,0.285697034,0.577664355,0.291967321,,
20,10,0.61,0.902913,0.63,0.866332,0.89,0.122498,0.91,0.0895452,0.61159263,0.903654682,0.292062052,,
12,8,0.49,0.930016,0.51,0.897616,0.79,0.116592,0.81,0.0861805,0.508528395,0.800911662,0.292383267,,
4,1,0.19,0.903469,0.21,0.862864,0.47,0.114738,0.49,0.0941884,0.191708657,0.484343832,0.292635175,,
17,6,0.41,0.909091,0.43,0.898305,0.71,0.11791,0.73,0.080281,0.426857037,0.719519254,0.292662217,,
10,6,0.41,0.920058,0.43,0.883616,0.71,0.107198,0.73,0.0686226,0.421008177,0.713731912,0.292723735,,
11,1,0.19,0.9141,0.21,0.867688,0.47,0.161155,0.49,0.0967583,0.196076015,0.488993209,0.292917194,,
16,9,0.57,0.902813,0.59,0.871707,0.85,0.127533,0.87,0.0901408,0.571808654,0.864726601,0.292917946,,
2,1,0.19,0.923208,0.21,0.896679,0.49,0.122268,0.51,0.0798403,0.207496325,0.500496916,0.293000591,,
14,1,0.19,0.910591,0.21,0.859691,0.47,0.141913,0.49,0.0937653,0.194161493,0.487410177,0.293248684,,
3,7,0.43,0.934122,0.45,0.899709,0.73,0.11976,0.75,0.0898652,0.449830878,0.74321969,0.293388813,,
13,5,0.37,0.902128,0.39,0.897583,0.67,0.105187,0.69,0.0683678,0.379364136,0.672817552,0.293453415,,
11,3,0.27,0.919762,0.29,0.889908,0.57,0.110668,0.59,0.0802775,0.283239097,0.577020615,0.293781518,,
7,7,0.47,0.90134,0.49,0.858617,0.75,0.135122,0.77,0.0866534,0.470627297,0.764492682,0.293865385,,
13,4,0.33,0.911594,0.35,0.863953,0.61,0.142499,0.63,0.0983447,0.334867236,0.62925022,0.294382984,,
7,6,0.41,0.916786,0.43,0.89601,0.71,0.122367,0.73,0.0812352,0.42615903,0.72087577,0.29471674,,
1,3,0.27,0.93892,0.29,0.894805,0.57,0.122284,0.59,0.0872894,0.287644792,0.582735679,0.295090887,,
13,2,0.23,0.919866,0.25,0.888614,0.53,0.115731,0.55,0.0776942,0.242713426,0.538271463,0.295558037,,
19,7,0.45,0.908789,0.47,0.891892,0.75,0.112069,0.77,0.0723077,0.46040303,0.756070727,0.295667697,,
8,10,0.61,0.921053,0.63,0.887059,0.91,0.114653,0.93,0.0795294,0.622386303,0.918343678,0.295957374,,
9,2,0.21,0.936752,0.23,0.88151,0.51,0.115228,0.53,0.0823529,0.223305818,0.519264154,0.295958336,,
10,4,0.31,0.914754,0.33,0.891102,0.61,0.114746,0.63,0.0801749,0.322475901,0.618530825,0.296054924,,
8,1,0.19,0.913408,0.21,0.861374,0.49,0.102866,0.51,0.0673813,0.195153553,0.491615344,0.296461791,,
2,8,0.53,0.909898,0.55,0.879479,0.83,0.103517,0.85,0.0803059,0.536507775,0.833030447,0.296522672,,
20,6,0.41,0.917098,0.43,0.88251,0.71,0.112198,0.73,0.0741675,0.419886666,0.716414851,0.296528185,,
19,6,0.41,0.910511,0.43,0.870436,0.71,0.102514,0.73,0.0748744,0.415245664,0.711819129,0.296573465,,
11,4,0.31,0.924051,0.33,0.896175,0.61,0.143526,0.63,0.0832065,0.327255704,0.624431817,0.297176113,,
16,1,0.17,0.93125,0.19,0.895082,0.47,0.135847,0.49,0.0873689,0.187280469,0.484788946,0.297508477,,
5,3,0.27,0.901582,0.29,0.898848,0.57,0.114475,0.59,0.0826153,0.281572787,0.579086715,0.297513927,,
5,5,0.37,0.908702,0.39,0.885445,0.67,0.109055,0.69,0.0749102,0.377483338,0.675303882,0.297820544,,
8,3,0.27,0.939086,0.29,0.890977,0.57,0.13866,0.59,0.0838207,0.286248935,0.584099378,0.297850443,,
2,3,0.29,0.917942,0.31,0.88568,0.59,0.122955,0.61,0.0717975,0.301122683,0.598974246,0.297851563,,
9,10,0.59,0.906024,0.61,0.869656,0.89,0.102813,0.91,0.0569923,0.593312802,0.891227829,0.297915027,,
