original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
1,1,0.21,0.916949,0.23,0.885584,0.45,0.134272,0.47,0.0798362,0.220807588,0.462591714,0.241784125,0.009315109,4.25347E-05
1,2,0.25,0.929734,0.27,0.881866,0.51,0.105237,0.53,0.0690722,0.262423331,0.512896186,0.250472856,,
1,3,0.31,0.90566,0.33,0.875789,0.55,0.131724,0.57,0.082054,0.313789629,0.562773908,0.248984279,,
1,4,0.35,0.907422,0.37,0.887529,0.61,0.108891,0.63,0.0644051,0.357461921,0.613997222,0.2565353,,
1,5,0.39,0.923713,0.41,0.883321,0.65,0.120414,0.67,0.0733496,0.401741434,0.658674922,0.256933488,,
1,6,0.45,0.902494,0.47,0.856326,0.69,0.13712,0.71,0.075087,0.451080402,0.701967824,0.250887422,,
1,7,0.49,0.91453,0.51,0.8816,0.73,0.143973,0.75,0.099,0.49882478,0.749555289,0.250730509,,
1,8,0.53,0.920765,0.55,0.89112,0.79,0.120019,0.81,0.0942435,0.544009108,0.805533355,0.261524248,,
1,9,0.59,0.909318,0.61,0.885258,0.83,0.152526,0.85,0.0924623,0.597745636,0.847490098,0.249744462,,
1,10,0.65,0.900693,0.67,0.85529,0.89,0.105838,0.91,0.0729262,0.650305266,0.893547664,0.243242398,,
2,1,0.21,0.905597,0.23,0.885039,0.43,0.1495,0.45,0.0985294,0.215445082,0.449422961,0.233977879,,
2,2,0.25,0.910924,0.27,0.880917,0.49,0.119283,0.51,0.0757722,0.257280968,0.498863547,0.241582579,,
2,3,0.27,0.94294,0.29,0.896734,0.53,0.136863,0.55,0.0964912,0.288586331,0.548261757,0.259675426,,
2,4,0.33,0.935053,0.35,0.885895,0.59,0.107505,0.61,0.0749083,0.344261361,0.594604761,0.250343399,,
2,5,0.37,0.924731,0.39,0.891705,0.63,0.125183,0.65,0.0903073,0.384976685,0.644441574,0.259464889,,
2,6,0.43,0.91268,0.45,0.897265,0.67,0.165596,0.69,0.0944142,0.446451508,0.688430554,0.241979046,,
2,7,0.47,0.934545,0.49,0.887789,0.73,0.113246,0.75,0.0819348,0.484776713,0.73846087,0.253684157,,
2,8,0.51,0.945193,0.53,0.899745,0.77,0.133733,0.79,0.0915493,0.529887784,0.785993381,0.256105597,,
2,9,0.57,0.909535,0.59,0.884615,0.81,0.133005,0.83,0.0827286,0.577652488,0.823129421,0.245476933,,
2,10,0.61,0.92228,0.63,0.88221,0.87,0.100242,0.89,0.0625602,0.621120539,0.870128444,0.249007905,,
2,11,0.67,0.90142,0.69,0.874205,0.91,0.118501,0.93,0.0868373,0.671043542,0.921685937,0.250642395,,
3,1,0.21,0.905254,0.23,0.881712,0.45,0.113159,0.47,0.0754049,0.214463512,0.456970899,0.242507387,,
3,2,0.25,0.939962,0.27,0.8875,0.49,0.128585,0.51,0.0887574,0.265234646,0.504354367,0.239119721,,
3,3,0.29,0.921169,0.31,0.892739,0.53,0.136683,0.55,0.0964392,0.304892015,0.548230386,0.24333837,,
3,4,0.33,0.920149,0.35,0.879223,0.59,0.117098,0.61,0.0747951,0.339846552,0.598083607,0.258237054,,
