original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
16,1,0.13,0.90387,0.15,0.863636,0.45,0.116315,0.47,0.0895884,0.131923746,0.462208811,0.330285065,0.046898902,0.000187596
6,4,0.23,0.911515,0.25,0.898613,0.57,0.132294,0.59,0.0934204,0.247849946,0.586614875,0.338764929,,
17,3,0.19,0.913725,0.21,0.888764,0.53,0.125616,0.55,0.0813609,0.200997156,0.541576519,0.340579363,,
16,2,0.15,0.911111,0.17,0.883085,0.49,0.115347,0.51,0.0867168,0.157929066,0.500720847,0.342791781,,
17,2,0.15,0.912145,0.17,0.888763,0.49,0.143143,0.51,0.091,0.160388333,0.506547955,0.346159622,,
12,9,0.39,0.910468,0.41,0.894484,0.73,0.142185,0.75,0.0987469,0.403098098,0.749423041,0.346324943,,
1,3,0.19,0.901356,0.21,0.872852,0.53,0.112641,0.55,0.0837851,0.190951445,0.538761466,0.347810021,,
5,4,0.21,0.904828,0.23,0.89306,0.55,0.126046,0.57,0.0958292,0.218205303,0.567239416,0.349034114,,
5,3,0.17,0.90991,0.19,0.889535,0.51,0.12696,0.53,0.098912,0.179727607,0.529224187,0.34949658,,
8,1,0.11,0.902036,0.13,0.89455,0.45,0.13579,0.47,0.0883789,0.115439487,0.46509773,0.349658243,,
18,1,0.11,0.910581,0.13,0.87924,0.45,0.135,0.47,0.0948192,0.116752178,0.467421256,0.350669078,,
13,6,0.31,0.900468,0.33,0.875121,0.65,0.11336,0.67,0.0901133,0.310369274,0.661494105,0.35112483,,
5,2,0.13,0.908689,0.15,0.897172,0.49,0.107015,0.51,0.0865191,0.145088999,0.496845271,0.351756273,,
7,8,0.37,0.916558,0.39,0.9,0.73,0.119304,0.75,0.0873016,0.39,0.742064095,0.352064095,,
8,3,0.17,0.917867,0.19,0.893506,0.53,0.109562,0.55,0.0817061,0.184668528,0.536865332,0.352196804,,
13,7,0.33,0.909333,0.35,0.875556,0.67,0.136713,0.69,0.0968689,0.335526246,0.688428324,0.352902079,,
6,3,0.19,0.910506,0.21,0.885876,0.55,0.102616,0.57,0.0774578,0.19853106,0.55207964,0.35354858,,
5,1,0.09,0.943425,0.11,0.898329,0.45,0.110474,0.47,0.0941358,0.109258914,0.462821486,0.353562572,,
9,2,0.15,0.916435,0.17,0.892157,0.51,0.120458,0.53,0.0769615,0.163539007,0.519406734,0.355867727,,
13,10,0.45,0.904819,0.47,0.855659,0.79,0.134031,0.81,0.0958562,0.451960537,0.807829039,0.355868502,,
10,13,0.55,0.925161,0.57,0.87456,0.91,0.115527,0.93,0.0691415,0.559944863,0.916694765,0.356749902,,
1,2,0.15,0.901099,0.17,0.875912,0.49,0.122025,0.51,0.0983034,0.150872672,0.508569574,0.357696901,,
