original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.21,0.929805,0.23,0.881336,0.43,0.10396,0.45,0.0816641,0.22229858259918708,0.43355222260594994,0.21125364000676286
1,2,0.23,0.923772,0.25,0.879525,0.43,0.149562,0.45,0.0903712,0.24074513526340768,0.44674652141886917,0.20600138615546149
1,3,0.25,0.915216,0.27,0.850542,0.45,0.13843,0.47,0.0926981,0.2547054457741906,0.46680664918798476,0.21210120341379418
1,4,0.27,0.90415,0.29,0.869757,0.47,0.113208,0.49,0.0846233,0.2724132817724537,0.47924130741270676,0.20682802564025304
1,5,0.27,0.931114,0.29,0.899317,0.49,0.115203,0.51,0.0701299,0.28957039972324433,0.4967459304995662,0.2071755307763219
1,6,0.29,0.925702,0.31,0.884404,0.51,0.111789,0.53,0.0816633,0.3024470918688556,0.5178265401301878,0.2153794482613322
1,7,0.31,0.926802,0.33,0.872167,0.51,0.133584,0.53,0.0911028,0.3198112931271163,0.5258112294379631,0.2059999363108468
1,8,0.33,0.905512,0.35,0.857854,0.53,0.112013,0.55,0.0761658,0.3323131478450627,0.5367023365841684,0.20438918873910572
1,9,0.33,0.94297,0.35,0.891304,0.55,0.111917,0.57,0.0779556,0.346633763016297,0.557017967457172,0.21038420444087502
1,10,0.35,0.935366,0.37,0.898764,0.57,0.101305,0.59,0.0665323,0.369324627069559,0.5707505888239912,0.20142596175443223
1,11,0.37,0.9364,0.39,0.887921,0.59,0.109524,0.61,0.0630817,0.38501681140287547,0.5941014333915418,0.20908462198866629
1,12,0.39,0.924986,0.41,0.868075,0.59,0.135388,0.61,0.0968389,0.39878072780306095,0.6083599617111684,0.2095792339081074
1,13,0.41,0.922727,0.43,0.855256,0.61,0.1202,0.63,0.0936147,0.4167368202635206,0.6251963679176086,0.20845954765408797
1,14,0.43,0.912281,0.45,0.844419,0.63,0.115801,0.65,0.0962622,0.43361940408476024,0.6461739717894651,0.21255456770470488
1,15,0.45,0.908314,0.47,0.857394,0.65,0.11418,0.67,0.0906722,0.45326551453260017,0.6620640808582683,0.20879856632566812
1,16,0.47,0.90487,0.49,0.824414,0.67,0.124742,0.69,0.079646,0.4712105995823804,0.6809730353024659,0.20976243572008552
