original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.23,0.92269,0.25,0.849686,0.39,0.119261,0.41,0.0950131,0.23621609774806862,0.40588673658337426,0.16967063883530564
1,2,0.25,0.917141,0.27,0.845545,0.41,0.1144,0.43,0.0889262,0.2547882563271691,0.4213057337342681,0.166517477407099
1,3,0.27,0.917105,0.29,0.865513,0.43,0.127815,0.45,0.0905512,0.2766308730035664,0.4449286975563415,0.1682978245527751
1,4,0.29,0.913043,0.31,0.851393,0.45,0.140607,0.47,0.0964247,0.294231305758313,0.46838156908988443,0.1741502633315714
1,5,0.31,0.934004,0.33,0.869457,0.47,0.13437,0.49,0.0923885,0.3205361984290517,0.4863738789704989,0.1658376805414472
1,6,0.33,0.935676,0.35,0.872739,0.51,0.104155,0.53,0.0633108,0.34133705133705133,0.5120345605985672,0.1706975092615159
1,7,0.35,0.933059,0.37,0.861768,0.53,0.100738,0.55,0.0708155,0.3592743824606191,0.5304932742919208,0.17121889183130173
1,8,0.37,0.951279,0.39,0.894154,0.55,0.101571,0.57,0.0598647,0.38795326039387307,0.5507533634007332,0.16280010300686015
1,9,0.39,0.930399,0.41,0.877618,0.55,0.153668,0.57,0.0875403,0.4015189177923874,0.5662316245688267,0.1647127067764393
1,10,0.41,0.946149,0.43,0.892223,0.57,0.149645,0.59,0.0930617,0.42711567703890513,0.5875475802931253,0.16043190325422013
1,11,0.43,0.942139,0.45,0.882243,0.61,0.107805,0.63,0.0608924,0.44407072258581537,0.6133274642633322,0.1692567416775168
1,12,0.45,0.941287,0.47,0.87258,0.61,0.139269,0.63,0.0967917,0.46201828052454624,0.628489404929221,0.16647112440467476
1,13,0.47,0.943015,0.49,0.898428,0.63,0.159978,0.65,0.0871905,0.4892948617309978,0.6464803022496994,0.15718544051870165
1,14,0.49,0.943287,0.51,0.888331,0.67,0.111412,0.69,0.0600858,0.5057533299366765,0.6744468517053669,0.16869352176869035
1,15,0.51,0.935142,0.53,0.887755,0.69,0.103638,0.71,0.0621118,0.5248319159263088,0.6917521468374183,0.1669202309111094
1,16,0.53,0.939665,0.55,0.883301,0.69,0.157029,0.71,0.0950549,0.5440745866155703,0.7084041397938816,0.16432955317831133
1,17,0.55,0.947757,0.57,0.891507,0.71,0.149237,0.73,0.096828,0.5669802666666667,0.7287895208838177,0.16180925421715098
1,18,0.57,0.94715,0.59,0.893255,0.75,0.107461,0.77,0.0625954,0.5874969848780035,0.7533259334545843,0.16582894857658081
1,19,0.61,0.904353,0.63,0.817435,0.77,0.11159,0.79,0.0634675,0.6110016337237396,0.7748168736038236,0.16381523988008395
1,20,0.61,0.947368,0.63,0.888331,0.79,0.110512,0.81,0.0747562,0.6260468858512458,0.7958798852214186,0.16983299937017282
1,21,0.63,0.941581,0.65,0.88805,0.81,0.116788,0.83,0.0645533,0.6455352973043657,0.8164279109480863,0.17089261364372066
1,22,0.65,0.94925,0.67,0.886924,0.81,0.184272,0.83,0.0983425,0.6658039983313545,0.8296142186327164,0.16381022030136194
1,23,0.69,0.913337,0.71,0.839388,0.85,0.112946,0.87,0.0653701,0.6936070805555179,0.8554422512238339,0.161835170668316
1,24,0.71,0.904,0.73,0.830091,0.87,0.108519,0.89,0.0625931,0.7110824121554885,0.8737098891910665,0.162627477035578
2,1,0.21,0.938997,0.23,0.885906,0.37,0.161012,0.39,0.0873147,0.22469062552975078,0.38655745868573205,0.16186683315598127
2,2,0.23,0.940271,0.25,0.897734,0.41,0.107497,0.43,0.0769645,0.24893457460563745,0.41491083271923357,0.16597625811359612
2,3,0.25,0.949501,0.27,0.89895,0.43,0.105939,0.45,0.0773362,0.2695845779509802,0.4341527402911603,0.16456816234018012
2,4,0.29,0.905848,0.31,0.817895,0.45,0.116411,0.47,0.0709406,0.2913298011437927,0.4572183222491995,0.1658885211054068
2,5,0.31,0.901472,0.33,0.833002,0.47,0.106711,0.49,0.0734584,0.3104299693296334,0.47403637610292126,0.16360640677328786
2,6,0.33,0.906691,0.35,0.800908,0.49,0.119205,0.51,0.0775996,0.3312650425871832,0.4992319746955924,0.16796693210840918
2,7,0.35,0.91005,0.37,0.804688,0.51,0.119913,0.53,0.0801624,0.3519077086615668,0.5200189682671457,0.16811125960557888
2,8,0.37,0.910604,0.39,0.832882,0.53,0.102751,0.55,0.0773842,0.37272869972465966,0.5321689767727896,0.15944027704812996
2,9,0.39,0.906903,0.41,0.832515,0.55,0.130795,0.57,0.0679206,0.3918559445071786,0.5597957197205858,0.16793977521340725
2,10,0.41,0.905277,0.43,0.827138,0.57,0.119977,0.59,0.0927441,0.4113506699599431,0.5846712248787311,0.173320554918788
2,11,0.43,0.911765,0.45,0.83199,0.59,0.138162,0.61,0.0756579,0.43294954559699156,0.6022110389558445,0.16926149335885293
2,12,0.45,0.916769,0.47,0.853644,0.61,0.135837,0.63,0.088439,0.4553129504950495,0.6251217350943078,0.1698087845992583
2,13,0.47,0.927273,0.49,0.854451,0.63,0.129367,0.65,0.0918367,0.47749031885968524,0.6456497549979616,0.16815943613827639
