original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.942995,0.21,0.85605,0.33,0.109649,0.35,0.066705,0.19989016044625912,0.3344937593144561,0.13460359886819695
1,2,0.19,0.969166,0.21,0.899457,0.33,0.141703,0.35,0.0847458,0.20984420949949073,0.3446436271445928,0.13479941764510206
1,3,0.21,0.922245,0.23,0.853982,0.33,0.151883,0.35,0.0924679,0.2165174399015572,0.3474645839189028,0.13094714401734558
1,4,0.21,0.949275,0.23,0.880171,0.35,0.117436,0.37,0.0639464,0.2242611136837231,0.3565193981633813,0.1322582844796582
1,5,0.23,0.919377,0.25,0.814264,0.35,0.151813,0.37,0.0908555,0.23368688934765444,0.36699971291473565,0.1333128235670812
1,6,0.23,0.93403,0.25,0.877596,0.37,0.107874,0.39,0.0671599,0.24206010561009322,0.37386794746783053,0.1318078418577373
1,7,0.23,0.951333,0.25,0.8974,0.37,0.112641,0.39,0.0748724,0.2490358407653941,0.37669392034653126,0.12765807958113717
1,8,0.25,0.911913,0.27,0.842814,0.37,0.145283,0.39,0.0868794,0.2534480962097859,0.38550692080625165,0.13205882459646573
1,9,0.25,0.933762,0.27,0.883357,0.39,0.106643,0.41,0.0684151,0.2633962900505902,0.3934754721028359,0.13007918205224572
1,10,0.27,0.901378,0.29,0.791878,0.39,0.1343,0.41,0.0865225,0.2702516894977169,0.4043582230129245,0.13410653351520763
1,11,0.27,0.919164,0.29,0.839039,0.41,0.101047,0.43,0.0541295,0.27478352574102965,0.4104463153407577,0.13566278959972805
1,12,0.27,0.950336,0.29,0.876157,0.41,0.12426,0.43,0.0754612,0.28357149597595005,0.41994286744756015,0.1363713714716101
1,13,0.29,0.911606,0.31,0.797248,0.41,0.13174,0.43,0.0777108,0.2920297661728956,0.4217492022832098,0.12971943611031417
1,14,0.29,0.929607,0.31,0.83983,0.41,0.165714,0.43,0.0932401,0.2965956759526382,0.42813452843023486,0.13153885247759667
1,15,0.29,0.940289,0.31,0.865942,0.43,0.125473,0.45,0.08206,0.30083809703148745,0.441735194526985,0.14089709749549756
1,16,0.31,0.902332,0.33,0.821835,0.43,0.149664,0.45,0.0887574,0.31057940047455185,0.4463082490239153,0.13572884854936346
1,17,0.31,0.922512,0.33,0.843179,0.43,0.158793,0.45,0.0906892,0.31567531796352083,0.4472657032353554,0.1315903852718346
1,18,0.31,0.956434,0.33,0.88968,0.45,0.139741,0.47,0.0721831,0.32690805045390536,0.461765019338967,0.13485696888506166
1,19,0.33,0.912209,0.35,0.817852,0.45,0.142857,0.47,0.0889139,0.33258783132147063,0.4658897060050312,0.13330187468356058
1,20,0.33,0.933555,0.35,0.868223,0.45,0.185921,0.47,0.0933088,0.3402721484111921,0.46855500679176176,0.1282828583805697
1,21,0.33,0.937183,0.35,0.896743,0.47,0.108734,0.49,0.0724719,0.34838921859545,0.47481715068901137,0.12642793209356135
1,22,0.35,0.91966,0.37,0.86075,0.47,0.152786,0.49,0.0860465,0.35667458835511795,0.4858185182687913,0.12914392991367335
