original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.21,0.902624,0.23,0.807165,0.37,0.13801,0.39,0.0980066,0.21054976482049884,0.38900338471229945,0.1784536198918006
1,2,0.23,0.913043,0.25,0.799403,0.39,0.125281,0.41,0.0929108,0.2322954945441746,0.4056199220270496,0.173324427482875
1,3,0.23,0.941961,0.25,0.885534,0.41,0.116368,0.43,0.0840757,0.24487266734010316,0.42013740117613174,0.17526473383602859
1,4,0.25,0.926029,0.27,0.876281,0.43,0.107973,0.45,0.0691489,0.26046434027498594,0.43410724266628203,0.1736429023912961
1,5,0.27,0.907767,0.29,0.840843,0.45,0.102706,0.47,0.0696304,0.2723211403980635,0.4516362514965715,0.179315111098508
1,6,0.29,0.902003,0.31,0.848378,0.45,0.127242,0.47,0.0993228,0.29074703962703957,0.4695148858133471,0.17876784618630753
1,7,0.31,0.908699,0.33,0.842066,0.47,0.124343,0.49,0.0951327,0.312611018564375,0.48666740841415523,0.17405638984978022
1,8,0.33,0.915612,0.35,0.820551,0.49,0.1214,0.51,0.0952903,0.33328462776532963,0.5063923752475133,0.17310774748218372
1,9,0.33,0.945506,0.35,0.877476,0.51,0.125541,0.53,0.0927441,0.3433782154931648,0.525575252539112,0.1821970370459472
1,10,0.35,0.923293,0.37,0.870514,0.53,0.119048,0.55,0.0840021,0.35882661664677235,0.5408703157858694,0.18204369913909707
1,11,0.37,0.92571,0.39,0.861725,0.55,0.10678,0.57,0.0672622,0.3780362584980855,0.5534313651063572,0.17539510660827168
1,12,0.39,0.902975,0.41,0.85016,0.55,0.133372,0.57,0.0976298,0.3911265738899934,0.5686737246168395,0.17754715072684613
1,13,0.41,0.905338,0.43,0.812977,0.57,0.118141,0.59,0.0909577,0.41115589913491624,0.5833471653551996,0.17219126622028336
1,14,0.43,0.900494,0.45,0.805847,0.59,0.132207,0.61,0.0793826,0.43010438788339833,0.6021939861124783,0.17208959822908
1,15,0.43,0.933054,0.45,0.880235,0.61,0.119754,0.63,0.0868597,0.44251595069955885,0.6220105915006551,0.17949464080109623
1,16,0.45,0.926108,0.47,0.846208,0.63,0.101307,0.65,0.0769663,0.4565351689612015,0.6310739214566549,0.17453875249545336
1,17,0.47,0.911994,0.49,0.825465,0.65,0.100334,0.67,0.0742678,0.4727722497659744,0.6502562705726189,0.17748402080664455
1,18,0.49,0.900145,0.51,0.823341,0.65,0.13059,0.67,0.0912548,0.4900377584500807,0.6655534991559723,0.1755157407058916
1,19,0.49,0.956829,0.51,0.892647,0.67,0.128191,0.69,0.0899135,0.5077087033747779,0.6847298021030632,0.1770210987282853
1,20,0.51,0.932432,0.53,0.872905,0.69,0.116751,0.71,0.0825028,0.5208965679439582,0.6997821199362302,0.17888555199227196
1,21,0.53,0.929461,0.55,0.866246,0.69,0.152314,0.71,0.0980822,0.5393208890295025,0.7092927396840967,0.1699718506545942
1,22,0.55,0.908408,0.57,0.847875,0.73,0.105909,0.75,0.0760518,0.5527779888655775,0.7339581742427287,0.1811801853771512
1,23,0.55,0.949935,0.57,0.875179,0.75,0.110027,0.77,0.0669185,0.5633594627855959,0.7546519827876172,0.19129252000202135
1,24,0.57,0.933918,0.59,0.883164,0.75,0.132988,0.77,0.0998298,0.5833656460574536,0.7698973406276577,0.18653169457020413
1,25,0.59,0.934753,0.61,0.862952,0.79,0.101273,0.81,0.0761394,0.5996803665687107,0.7910129865996117,0.191332620030901
1,26,0.61,0.942816,0.63,0.875997,0.79,0.131076,0.81,0.0900373,0.6228155165446954,0.8051447292433728,0.1823292126986774
1,27,0.63,0.915881,0.65,0.853583,0.81,0.129444,0.83,0.0883449,0.6350983980224084,0.824328294293549,0.18922989627114062
1,28,0.65,0.910884,0.67,0.845229,0.83,0.113769,0.85,0.0686427,0.6533155129083847,0.8361024280740942,0.18278691516570944
1,29,0.65,0.950557,0.67,0.894512,0.85,0.100497,0.87,0.0718346,0.6680415737353912,0.8503467958021659,0.18230522206677469
1,30,0.69,0.912112,0.71,0.829503,0.87,0.101986,0.89,0.0638743,0.6929323681439068,0.8710421996394808,0.17810983149557402
2,1,0.19,0.949128,0.21,0.89145,0.37,0.133669,0.39,0.0924508,0.20703526474565692,0.38633695794576184,0.17930169320010492
2,2,0.21,0.947903,0.23,0.891851,0.39,0.126949,0.41,0.0883978,0.22709234282452007,0.4039808877544668,0.1768885449299467
2,3,0.23,0.940957,0.25,0.862119,0.41,0.106209,0.43,0.0982594,0.24039016717826428,0.4256209117439871,0.1852307445657228
2,4,0.25,0.92284,0.27,0.848777,0.43,0.125212,0.45,0.0764543,0.2561677220744501,0.4403417511490493,0.18417402907459918
2,5,0.27,0.924923,0.29,0.844358,0.45,0.100481,0.47,0.0812183,0.27618705393160803,0.45049941077834366,0.17431235684673563
2,6,0.27,0.944794,0.29,0.899254,0.45,0.147974,0.47,0.0928899,0.2896723759332455,0.4674184565055978,0.1777460805723523
2,7,0.29,0.956091,0.31,0.893519,0.47,0.13512,0.49,0.0883191,0.30792846640669946,0.48500825838819334,0.17707979198149387
2,8,0.31,0.947183,0.33,0.889561,0.49,0.120873,0.51,0.0948553,0.3263767311096456,0.5060452307467609,0.1796684996371153
2,9,0.33,0.937897,0.35,0.875,0.51,0.116457,0.53,0.0826816,0.34205049525414566,0.5197449623098468,0.17769446705570113
2,10,0.35,0.932216,0.37,0.869534,0.53,0.111111,0.55,0.0854654,0.36027918700743433,0.5386650341579062,0.1783858471504719
2,11,0.37,0.918352,0.39,0.859248,0.55,0.118795,0.57,0.073079,0.3762100703844071,0.5582225041560942,0.18201243377168708
2,12,0.39,0.916785,0.41,0.850614,0.57,0.117946,0.59,0.0697297,0.39507321938613593,0.5774439556747406,0.18237073628860467
2,13,0.39,0.950593,0.41,0.9,0.57,0.145581,0.59,0.0994969,0.41000000000000003,0.5897816600519484,0.1797816600519484
2,14,0.41,0.942069,0.43,0.891403,0.59,0.129848,0.61,0.0817884,0.4266064027158252,0.602421243622502,0.17581484090667687
