original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.909091,0.21,0.871287,0.55,0.113993,0.57,0.0994413,0.19480954396360173,0.5692321172096731,0.3744225732460714
1,2,0.19,0.922535,0.21,0.865031,0.55,0.105826,0.57,0.0987868,0.19783771563717306,0.5665530173883396,0.36871530175116657
1,3,0.21,0.92378,0.23,0.873351,0.57,0.111048,0.59,0.0928931,0.21943108132225503,0.5821708188973775,0.3627397375751225
1,4,0.23,0.907514,0.25,0.84596,0.57,0.126464,0.59,0.0958751,0.23244143353803165,0.5873030086076975,0.3548615750696658
1,5,0.21,0.933333,0.23,0.89769,0.59,0.100565,0.61,0.0858068,0.22870381281036947,0.5907656760309522,0.36206186322058276
1,6,0.23,0.910394,0.25,0.892231,0.59,0.122668,0.61,0.0854701,0.24144524582943347,0.6021877847943029,0.3607425389648694
1,7,0.23,0.939271,0.25,0.871186,0.61,0.1069,0.63,0.0773842,0.24153587427480355,0.6146754619559693,0.3731395876811658
1,8,0.21,0.925466,0.23,0.877729,0.61,0.105063,0.63,0.0871738,0.22066929216331146,0.6156603984526977,0.3949911062893863
1,9,0.15,1.0,0.17,0.9,0.61,0.121317,0.63,0.0970767,0.16999999999999998,0.6275880661542967,NAN
1,10,0.25,0.911504,0.27,0.882143,0.63,0.121739,0.65,0.0945245,0.25783624535949046,0.6459760421833949,0.3881397968239044
1,11,0.29,0.919403,0.31,0.9,0.65,0.103822,0.67,0.0917793,0.31,0.656347413785945,0.34634741378594497
1,12,0.29,0.935714,0.31,0.881098,0.65,0.129432,0.67,0.0893434,0.30307821883697084,0.6646834761004375,0.3616052572634667
1,13,0.33,0.901099,0.35,0.851852,0.67,0.117028,0.69,0.0871233,0.3304463216033464,0.6813881764404927,0.35094185483714624
1,14,0.33,0.905724,0.35,0.892523,0.67,0.106323,0.69,0.0987938,0.33867207029770463,0.6867959411358445,0.3481238708381399
1,15,0.33,0.92549,0.35,0.839009,0.69,0.115707,0.71,0.0894077,0.3358949364600317,0.7019448046145714,0.3660498681545397
1,16,0.29,0.92562,0.31,0.893082,0.71,0.108756,0.73,0.0811966,0.30574774110271064,0.7163542747665043,0.4106065336637936
1,17,0.31,0.922727,0.33,0.893281,0.71,0.109877,0.73,0.0849487,0.3254363920396658,0.7179243269697492,0.3924879349300834
1,18,0.31,0.901639,0.33,0.868996,0.71,0.125592,0.73,0.0960549,0.3110041969181754,0.7273287154121426,0.41632451849396723
1,19,0.27,0.939024,0.29,0.898305,0.73,0.109453,0.75,0.092562,0.289167464819863,0.7411929429873897,0.4520254781675267
1,20,0.35,0.937743,0.37,0.88255,0.73,0.117028,0.75,0.0974329,0.3636767343684887,0.7473798551678735,0.38370312079938484
1,21,0.37,0.929461,0.39,0.874194,0.75,0.105737,0.77,0.0955342,0.3806613349738542,0.7612459324891206,0.38058459751526647
1,22,0.37,0.919355,0.39,0.899666,0.75,0.114994,0.77,0.0918478,0.3896607242622784,0.7629559063690801,0.3732951821068017
1,23,0.37,0.919048,0.39,0.888889,0.75,0.120396,0.77,0.0932401,0.38263171855830763,0.7650214133945109,0.3823896948362033
1,24,0.41,0.924092,0.43,0.845972,0.77,0.105594,0.79,0.0867375,0.41616794674859187,0.7759332325723225,0.35976528582373063
1,25,0.39,0.942731,0.41,0.882812,0.79,0.10123,0.81,0.0781166,0.4042629216108413,0.7910643176685386,0.38680139605769726
1,26,0.43,0.910769,0.45,0.836461,0.79,0.10245,0.81,0.0898567,0.4328984766108629,0.7938909578903067,0.36099248127944383
1,27,0.41,0.924623,0.43,0.896907,0.81,0.100275,0.83,0.0855615,0.42776807620147206,0.8103738063683013,0.3826057301668292
1,28,0.41,0.94709,0.43,0.893617,0.79,0.123429,0.81,0.0972376,0.4276126269332186,0.8078906053131945,0.38027797837997585
1,29,0.43,0.907063,0.45,0.896341,0.81,0.103831,0.83,0.0933333,0.44317478082447304,0.8172987416291188,0.3741239608046457
1,30,0.43,0.91866,0.45,0.873786,0.81,0.119131,0.83,0.0924508,0.4383166198689664,0.8243409719567321,0.38602435208776564
1,31,0.31,1.0,0.33,0.875,0.83,0.110791,0.85,0.0877095,0.326,0.8393503455148061,NAN
1,32,0.45,0.931707,0.47,0.882979,0.85,0.116125,0.87,0.0901594,0.4630138729272697,0.8624202791385526,0.39940640621128287
1,33,0.47,0.943548,0.49,0.865714,0.85,0.104478,0.87,0.0987723,0.48118996839427497,0.8656965841176367,0.38450661572336176
1,34,0.49,0.904943,0.51,0.873846,0.85,0.114716,0.87,0.0940405,0.49317908479917677,0.8642352059200503,0.37105612112087355
1,35,0.43,0.95935,0.45,0.89375,0.85,0.114687,0.87,0.0932494,0.448094512195122,0.863702093517931,0.41560758132280906
1,36,0.51,0.90228,0.53,0.861862,0.89,0.1007,0.91,0.0839014,0.5111282102033747,0.8908334027835653,0.37970519258019053
1,37,0.51,0.925781,0.53,0.898256,0.89,0.108315,0.91,0.0944882,0.5287327883742053,0.9020273671420719,0.37329457876786654
1,38,0.51,0.95935,0.53,0.879747,0.89,0.10231,0.91,0.0938967,0.5249114983103652,0.8954913054330643,0.3705798071226991
1,39,0.39,1.0,0.41,0.885714,0.91,0.111888,0.93,0.0951102,0.4074999562501094,0.9241711070581364,NAN
1,40,0.55,0.914089,0.57,0.881868,0.93,0.114583,0.95,0.0989362,0.5587452282672791,0.9486402331467138,0.3898950048794346
1,40,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,41,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,42,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,43,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,44,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,45,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,46,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,47,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,48,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,49,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,50,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,51,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,52,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,1,0.19,0.902439,0.21,0.887701,0.53,0.119464,0.55,0.0940707,0.1933098113719636,0.5453300279995117,0.3520202166275481
2,2,0.21,0.907186,0.23,0.850785,0.55,0.107692,0.57,0.0877968,0.2125481817698268,0.5577325183963971,0.34518433662657033
2,3,0.19,0.942731,0.21,0.882736,0.55,0.115934,0.57,0.07991,0.20424485373781148,0.5588463246724407,0.3546014709346292
2,4,0.23,0.919255,0.25,0.894737,0.55,0.12766,0.57,0.0992489,0.24570682763683824,0.5694712629922812,0.32376443535544297
2,5,0.21,0.939252,0.23,0.895131,0.57,0.111872,0.59,0.0847363,0.2277928877405317,0.5787500967360341,0.35095720899550237
2,6,0.23,0.902985,0.25,0.86478,0.59,0.109581,0.61,0.088565,0.23156262269336475,0.5991178149980967,0.36755519230473194
2,7,0.23,0.929825,0.25,0.883792,0.61,0.103889,0.63,0.0702997,0.24295809527947343,0.6123156183665631,0.3693575230870897
2,8,0.25,0.902299,0.27,0.886889,0.59,0.10884,0.61,0.0960519,0.25298377676833217,0.6038253532581072,0.350841576489775
2,9,0.27,0.924051,0.29,0.881356,0.59,0.125776,0.61,0.0901687,0.2812664246398876,0.6044779300873697,0.3232115054474821
2,10,0.25,0.940239,0.27,0.894737,0.59,0.12559,0.61,0.0917958,0.2676866950903257,0.6051446106136555,0.3374579155233298
2,11,0.25,0.901639,0.27,0.891051,0.61,0.11294,0.63,0.0915455,0.2530959576879485,0.6220965668746641,0.36900060918671557
2,12,0.27,0.904382,0.29,0.892857,0.63,0.10373,0.65,0.0826902,0.2776043383947939,0.6335456610804285,0.3559413226856346
2,13,0.25,0.959302,0.27,0.89,0.63,0.10043,0.65,0.0901857,0.26711408040172,0.630839491229269,0.36372541082754895
2,14,0.13,1.0,0.15,0.8,0.63,0.110981,0.65,0.0990592,0.14,0.6484217148417185,NAN
2,15,0.27,0.901961,0.29,0.874494,0.65,0.100767,0.67,0.0870298,0.27142789529253286,0.6511166758873715,0.3796887805948387
2,16,0.31,0.908197,0.33,0.883951,0.63,0.136792,0.65,0.0985591,0.316761527674668,0.6492462512652716,0.3324847235906036
2,17,0.31,0.935345,0.33,0.891986,0.65,0.100283,0.67,0.08264,0.326303420281833,0.6503208071189707,0.32401738683713766
2,18,0.33,0.923636,0.35,0.850949,0.67,0.103784,0.69,0.0738544,0.33650350131385254,0.6725286004490538,0.3360250991352013
2,19,0.33,0.916968,0.35,0.880466,0.65,0.128056,0.67,0.098834,0.3392970248205578,0.6692019711176511,0.3299049462970933
2,20,0.33,0.924303,0.35,0.882911,0.69,0.10872,0.71,0.0892662,0.34174284885968303,0.6989648294934665,0.35722198063378346
2,21,0.35,0.90493,0.37,0.856148,0.69,0.126456,0.71,0.0845938,0.35202123734164237,0.7026395650491374,0.350618327707495
2,22,0.35,0.927273,0.37,0.890966,0.69,0.131184,0.71,0.091895,0.36502354917784446,0.7058741632518007,0.3408506140739563
2,23,0.33,0.937799,0.35,0.886861,0.69,0.135398,0.71,0.0944056,0.34484117947308496,0.7072705184375639,0.362429338964479
2,24,0.39,0.918159,0.41,0.834025,0.71,0.102881,0.73,0.0956376,0.39431668528775526,0.717954827843278,0.32363814255552276
2,25,0.37,0.905882,0.39,0.88,0.71,0.115519,0.73,0.0961204,0.374545243798779,0.7260001237202685,0.35145487992148944
2,26,0.37,0.942857,0.39,0.871711,0.73,0.113218,0.75,0.0824513,0.382047620386248,0.7385924067254531,0.3565447863392051
2,27,0.39,0.949153,0.41,0.865269,0.73,0.117581,0.75,0.0876201,0.40171927900433935,0.741735962537841,0.3400166835335017
2,28,0.31,0.978723,0.33,0.897436,0.75,0.113058,0.77,0.0818182,0.32936914881838425,0.7583598486546008,0.42899069983621657
2,29,0.39,0.904523,0.41,0.876364,0.75,0.110802,0.77,0.0983969,0.393212472033808,0.7674154178523349,0.3742029458185269
2,30,0.39,0.919431,0.41,0.886121,0.77,0.102205,0.79,0.08506,0.4016667667367157,0.7725721784776903,0.37090541174097463
2,31,0.41,0.918149,0.43,0.840541,0.77,0.111176,0.79,0.0983425,0.4146770951448304,0.78741691666342,0.37273982151858953
2,32,0.41,0.902344,0.43,0.839437,0.77,0.119565,0.79,0.0909091,0.4107452270812469,0.7836551286122578,0.37290990153101095
2,33,0.23,1.0,0.25,0.75,0.77,0.125728,0.79,0.094519,0.23800000000000002,0.7864875516677882,NAN
2,34,0.27,0.947368,0.29,0.866667,0.81,0.103468,0.83,0.0760563,0.2817391358223566,0.8125303064020108,0.5307911705796542
2,35,0.43,0.92381,0.45,0.896429,0.81,0.105416,0.83,0.0862471,0.44739162192761406,0.815650819817517,0.3682591978899029
2,36,0.45,0.916335,0.47,0.875776,0.81,0.111439,0.83,0.095986,0.45805493232081657,0.8248048922539313,0.3667499599331147
2,37,0.47,0.95873,0.49,0.882521,0.81,0.125878,0.83,0.0936416,0.4854128777440984,0.8260551426337929,0.34064226488969446
2,38,0.49,0.925566,0.51,0.896739,0.83,0.114962,0.85,0.0965293,0.5077375377250494,0.8462341924948596,0.3384966547698103
2,39,0.49,0.92278,0.51,0.858621,0.83,0.114903,0.85,0.0993072,0.4971011081843545,0.8491115556752459,0.3520104474908914
2,40,0.51,0.914373,0.53,0.881013,0.83,0.129816,0.85,0.0942857,0.5186169064748202,0.8467834214740657,0.32816651499924554
2,41,0.49,0.917073,0.51,0.897764,0.85,0.114461,0.87,0.0923852,0.5076839815630017,0.8631012239647033,0.3554172424017017
2,42,0.43,0.962963,0.45,0.886792,0.87,0.107735,0.89,0.0858961,0.4465320134959499,0.8770836901125972,0.43055167661664734
2,43,0.49,0.931624,0.51,0.895833,0.89,0.115451,0.91,0.092973,0.5076714816573998,0.9037476643829522,0.39607618272555234
2,44,0.53,0.907514,0.55,0.874687,0.91,0.103485,0.93,0.0849288,0.534577938891766,0.9137561569717938,0.37917821808002783
2,45,0.53,0.934109,0.55,0.885714,0.91,0.101928,0.93,0.0945513,0.54409608430623,0.9152272696463188,0.3711311853400888
2,46,0.55,0.923875,0.57,0.868895,0.95,0.102804,0.97,0.0977828,0.5586849763550382,0.9611686449454313,0.4024836685903931
2,46,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,47,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,48,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,49,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,50,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,51,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,52,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,53,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,54,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,55,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,56,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,1,0.11,0.952381,0.13,0.875776,0.57,0.110858,0.59,0.0839653,0.12367560864173356,0.5780750538250157,0.4543994451832821
3,2,0.11,0.96875,0.13,0.898089,0.59,0.106557,0.61,0.0876993,0.12945910756994666,0.5969541884747345,0.4674950809047878
3,3,0.21,0.939577,0.23,0.895028,0.59,0.100811,0.61,0.0929844,0.22776785113021616,0.5920724196969309,0.3643045685667148
3,4,0.21,0.92,0.23,0.878788,0.61,0.104586,0.63,0.0872766,0.21970591089973793,0.615298854957422,0.3955929440576841
3,5,0.19,0.902985,0.21,0.865979,0.61,0.112528,0.63,0.0875476,0.19161325190509648,0.6200302637267617,0.42841701182166525
3,6,0.23,0.90106,0.25,0.837466,0.61,0.107838,0.63,0.0953678,0.23033336478284114,0.6225707687126109,0.3922374039297697
3,7,0.23,0.933754,0.25,0.831909,0.63,0.107761,0.65,0.0944351,0.2366285040993667,0.6416479937565193,0.40501948965715256
3,8,0.23,0.914027,0.25,0.891608,0.65,0.103896,0.67,0.0923165,0.24251349301931396,0.6567291333822705,0.4142156403629565
3,9,0.23,0.938525,0.25,0.883721,0.63,0.128278,0.65,0.0986573,0.24405919275965257,0.6490934042747133,0.4050342115150607
3,10,0.25,0.904215,0.27,0.89441,0.65,0.112341,0.67,0.0871212,0.2585976542580316,0.659786754851347,0.40118910059331536
3,11,0.25,0.906122,0.27,0.891566,0.65,0.125824,0.67,0.0912143,0.2584116515526243,0.6649229840189311,0.40651133246630683
3,12,0.23,0.973333,0.25,0.9,0.67,0.103796,0.69,0.0817012,0.25,0.6734361026123794,0.4234361026123794
3,13,0.27,0.952555,0.29,0.881098,0.67,0.108527,0.69,0.0911111,0.2847095456008509,0.6797922013791995,0.3950826557783486
3,14,0.31,0.905325,0.33,0.836735,0.67,0.11978,0.69,0.0973209,0.31155270447587113,0.687614240998081,0.37606153652220986
3,15,0.31,0.916107,0.33,0.878187,0.69,0.122573,0.71,0.0833333,0.31849525316455696,0.7015051848000876,0.38300993163553065
3,16,0.33,0.907738,0.35,0.863636,0.69,0.118023,0.71,0.0932671,0.3335091379075779,0.7045605693996179,0.37105143149203995
3,17,0.35,0.911111,0.37,0.846966,0.71,0.111366,0.73,0.0926535,0.3534643386078416,0.7221480293921175,0.36868369078427593
3,18,0.33,0.941704,0.35,0.883162,0.73,0.102253,0.75,0.0735052,0.3442475487684056,0.7315674242898587,0.3873198755214531
3,19,0.33,0.905759,0.35,0.871094,0.73,0.112791,0.75,0.0867085,0.33332265974325687,0.7398081088852678,0.40648544914201096
3,20,0.29,0.94898,0.31,0.87931,0.73,0.117092,0.75,0.0916427,0.3040605712645328,0.7434321965633632,0.43937162529883045
3,21,0.29,0.958904,0.31,0.878453,0.75,0.102064,0.77,0.0705689,0.3046434475643559,0.7513106800740432,0.4466672325096873
3,22,0.37,0.901786,0.39,0.9,0.75,0.101087,0.77,0.0834763,0.39,0.7512344767669655,0.3612344767669655
3,23,0.39,0.924342,0.41,0.887363,0.75,0.103774,0.77,0.079235,0.403165310040834,0.7530759199641387,0.3499106099233047
3,24,0.13,1.0,0.15,0.75,0.75,0.10224,0.77,0.0903987,0.138,0.7537833683801609,NAN
3,25,0.05,10000.0,0.07,0.0,0.05,10000.0,0.07,0.0,0.06999820000000001,0.0699998,NAN
3,26,0.99,0.0211443,0.01,0.0,0.99,0.0211443,0.01,0.0,0.15870674366141224,0.9154118604068235,NAN
3,27,0.99,0.0233918,0.01,0.25,0.77,0.111868,0.79,0.0924986,1.0673677386784768,0.7822543806209795,NAN
3,28,0.99,0.022293,0.01,0.222222,0.79,0.105233,0.81,0.0820569,1.0778018696637306,0.7945158590099284,NAN
3,29,0.99,0.0335612,0.01,0.361111,0.79,0.114106,0.81,0.0966648,1.0429042484532123,0.8061754925119832,NAN
3,30,0.99,0.0376884,0.01,0.455331,0.79,0.130362,0.81,0.0967008,1.0312942357891652,0.8080397609116728,NAN
3,31,0.99,0.0376756,0.01,0.53321,0.83,0.103041,0.85,0.083603,1.0248038158400306,0.8331289227286758,NAN
3,32,0.99,0.043214,0.01,0.581395,0.83,0.113229,0.85,0.0915105,1.02184006867578,0.8421822409466583,NAN
3,33,0.99,0.0507712,0.01,0.692029,0.83,0.116992,0.85,0.0986334,1.0164863460530227,0.8485112154521586,NAN
