original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,
3,1,0.09,0.928401,0.11,0.832941,0.39,0.100101,0.41,0.056696,0.095950346,0.390046538,0.294096193,0.369950069
18,11,0.57,0.918269,0.59,0.860558,0.87,0.111742,0.89,0.0764873,0.576331202,0.876661239,0.300330037,
13,5,0.25,0.914508,0.27,0.894495,0.55,0.134195,0.57,0.0897308,0.264498576,0.565380913,0.300882337,
20,1,0.09,0.904393,0.11,0.869748,0.39,0.114644,0.41,0.0737052,0.092536008,0.397154093,0.304618085,
3,2,0.11,0.927336,0.13,0.894472,0.43,0.104492,0.45,0.0564682,0.126635833,0.431870739,0.305234907,
3,11,0.53,0.909314,0.55,0.879925,0.83,0.135455,0.85,0.091001,0.536338426,0.84595132,0.309612895,
2,4,0.21,0.910714,0.23,0.896629,0.53,0.113462,0.55,0.0693467,0.225213348,0.536103098,0.31088975,
7,2,0.13,0.911392,0.15,0.871041,0.43,0.144359,0.45,0.0980392,0.135646452,0.449153364,0.313506912,
17,11,0.53,0.905941,0.55,0.85567,0.83,0.146132,0.85,0.0899621,0.532363589,0.846425879,0.31406229,
15,2,0.11,0.911458,0.13,0.876033,0.43,0.110244,0.45,0.0819672,0.116468878,0.437245516,0.320776638,
18,2,0.13,0.922879,0.15,0.872437,0.45,0.111742,0.47,0.0901883,0.139071409,0.460895577,0.321824168,
3,10,0.47,0.90085,0.49,0.88665,0.79,0.107678,0.81,0.0672691,0.471197183,0.793800153,0.32260297,
7,1,0.07,0.902439,0.09,0.891365,0.39,0.118977,0.41,0.0665281,0.074404912,0.397236377,0.322831464,
2,6,0.29,0.918699,0.31,0.898876,0.63,0.103061,0.65,0.073663,0.308865964,0.632082455,0.323216491,
12,11,0.51,0.915525,0.53,0.871456,0.83,0.128074,0.85,0.0786627,0.517045769,0.841363393,0.324317623,
2,2,0.11,0.902579,0.13,0.885584,0.43,0.10951,0.45,0.0856299,0.11303501,0.437964791,0.32492978,
12,4,0.19,0.903797,0.21,0.876106,0.51,0.106178,0.53,0.0904716,0.192742407,0.517866857,0.32512445,
3,5,0.25,0.904192,0.27,0.88521,0.57,0.118313,0.59,0.0804264,0.254416816,0.57966727,0.325250454,
15,1,0.07,0.901449,0.09,0.844706,0.39,0.106403,0.41,0.0872151,0.070510724,0.396673998,0.326163274,
7,4,0.23,0.908482,0.25,0.886831,0.55,0.124266,0.57,0.0903733,0.237835204,0.564319308,0.326484104,
17,4,0.19,0.906667,0.21,0.893678,0.51,0.14257,0.53,0.0946074,0.200265609,0.527751331,0.327485722,
3,3,0.15,0.910959,0.17,0.87234,0.47,0.134986,0.49,0.0835821,0.155675445,0.483612197,0.327936752,
13,4,0.19,0.931271,0.21,0.863636,0.51,0.12464,0.53,0.0960784,0.199246988,0.527253935,0.328006948,
13,1,0.05,0.949527,0.07,0.887097,0.39,0.110442,0.41,0.0654582,0.06586641,0.39464256,0.32877615,
8,1,0.07,0.904153,0.09,0.880829,0.39,0.134398,0.41,0.0798403,0.073561139,0.402609769,0.32904863,
19,2,0.11,0.906061,0.13,0.891253,0.43,0.159647,0.45,0.0960744,0.118186116,0.448765003,0.330578887,
15,3,0.15,0.90184,0.17,0.839506,0.47,0.128871,0.49,0.0782347,0.150590368,0.481403282,0.330812914,
17,5,0.23,0.916667,0.25,0.885117,0.57,0.10297,0.59,0.0662651,0.240565452,0.571618313,0.331052861,
4,3,0.15,0.923885,0.17,0.869565,0.47,0.130219,0.49,0.0999001,0.158794183,0.489934101,0.331139918,
18,3,0.17,0.905512,0.19,0.887295,0.49,0.125613,0.51,0.0964103,0.17605149,0.507541529,0.331490038,
19,6,0.31,0.907328,0.33,0.853791,0.63,0.124528,0.65,0.0909953,0.312737546,0.644629302,0.331891756,
10,2,0.11,0.90113,0.13,0.869281,0.43,0.122309,0.45,0.0890411,0.110709598,0.443411727,0.332702129,
