original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.935244,0.21,0.899229,0.41,0.115503,0.43,0.0814249,0.2095718450645564,0.4190985119475557,0.2095266668829993
1,2,0.23,0.930077,0.25,0.875835,0.45,0.101784,0.47,0.0710153,0.24108993031230413,0.45115962000344506,0.21006968969114093
1,3,0.27,0.908517,0.29,0.859179,0.47,0.126337,0.49,0.0913978,0.27345251124893594,0.48507590328341804,0.2116233920344821
1,4,0.29,0.937059,0.31,0.897849,0.51,0.109009,0.53,0.0862069,0.308902830910482,0.517901903772021,0.20899907286153907
1,5,0.33,0.923278,0.35,0.879328,0.55,0.123166,0.57,0.0767646,0.34059294653014793,0.5599850435547203,0.2193920970245724
1,6,0.35,0.937661,0.37,0.893707,0.59,0.120227,0.61,0.0786461,0.367136551849661,0.599728986145081,0.23259243429541998
1,7,0.39,0.921466,0.41,0.879235,0.61,0.143305,0.63,0.0973496,0.40016599180696644,0.6288465338132189,0.22868054200625243
1,8,0.43,0.92385,0.45,0.886859,0.67,0.105207,0.69,0.0732714,0.4428950285204509,0.6732609376369945,0.2303659091165436
1,9,0.47,0.921649,0.49,0.877095,0.69,0.118961,0.71,0.0838641,0.47971809489608114,0.7008049428866936,0.22108684799061246
1,10,0.51,0.918378,0.53,0.868421,0.73,0.125746,0.75,0.0893119,0.5173575274736273,0.7441329139460011,0.22677538647237383
1,11,0.53,0.94984,0.55,0.898099,0.77,0.114637,0.79,0.0838646,0.5492651862159603,0.7795130701537741,0.2302478839378138
1,12,0.57,0.93126,0.59,0.892235,0.81,0.105502,0.83,0.075122,0.5860204996796925,0.8136221198156682,0.22760162013597574
1,13,0.61,0.917306,0.63,0.865124,0.83,0.126403,0.85,0.095122,0.6166329385611896,0.8468811738755154,0.2302482353143258
1,14,0.65,0.906059,0.67,0.869035,0.87,0.132908,0.89,0.0752145,0.6532730121002592,0.8814078709040013,0.22813485880374207
1,15,0.69,0.905309,0.71,0.879512,0.89,0.147015,0.91,0.1,0.6941159824785827,0.91,0.21588401752141728
2,1,0.21,0.914286,0.23,0.848988,0.41,0.1328,0.43,0.0977131,0.21437563171919508,0.4286964365617937,0.2143208048425986
2,2,0.23,0.92226,0.25,0.886681,0.45,0.123862,0.47,0.081643,0.2425129992411254,0.4613039152987991,0.2187909160576737
2,3,0.27,0.904324,0.29,0.856422,0.49,0.112683,0.51,0.0862944,0.27180535259488126,0.49961248417877413,0.22780713158389287
2,4,0.29,0.916839,0.31,0.892212,0.53,0.116766,0.55,0.0787909,0.30367523449872086,0.5388299964977051,0.23515476199898427
2,5,0.33,0.92393,0.35,0.858564,0.55,0.146403,0.57,0.0958637,0.3373218492794419,0.5683631352234796,0.23104128594403767
2,6,0.37,0.91829,0.39,0.848144,0.61,0.106319,0.63,0.0859938,0.37521483762438346,0.6162178969948635,0.24100305937048006
