original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.90628,0.21,0.87037,0.47,0.102296,0.49,0.0772465,0.19349763297131717,0.4718331703227609,0.27833553735144373
1,2,0.21,0.922513,0.23,0.885276,0.49,0.126699,0.51,0.0905834,0.22209173671348387,0.5047853005349489,0.282693563821465
1,3,0.25,0.912008,0.27,0.865042,0.53,0.108581,0.55,0.0877193,0.255113486351829,0.53822655871765,0.283113072365821
1,4,0.29,0.915519,0.31,0.860086,0.57,0.102765,0.59,0.0751843,0.2955991918171486,0.5720050252531661,0.2764058334360175
1,5,0.31,0.927061,0.33,0.897338,0.61,0.110608,0.63,0.0914141,0.3282087945362177,0.6210535117928091,0.2928447172565914
1,6,0.35,0.917228,0.37,0.888605,0.65,0.112405,0.67,0.0823293,0.3620378716416867,0.6582491845576329,0.2962113129159462
1,7,0.39,0.911298,0.41,0.861893,0.67,0.128697,0.69,0.0904954,0.3945736261511993,0.6850239780532753,0.290450351902076
1,8,0.41,0.92057,0.43,0.889564,0.71,0.131234,0.73,0.0981857,0.423268399664581,0.7289020312693845,0.30563363160480345
1,9,0.45,0.908405,0.47,0.898113,0.75,0.114271,0.77,0.0902101,0.4663330742324136,0.7618623991621261,0.29552932492971246
1,10,0.49,0.922037,0.51,0.891725,0.79,0.109737,0.81,0.0831155,0.5045401161256268,0.7973151400184062,0.29277502389277943
1,11,0.53,0.908718,0.55,0.872955,0.83,0.116091,0.85,0.0817425,0.5348754299135979,0.8393692592107369,0.304493829297139
1,12,0.57,0.908309,0.59,0.863014,0.85,0.131041,0.87,0.0954799,0.5736688376200463,0.8674578401680487,0.29378900254800244
1,13,0.59,0.930754,0.61,0.899461,0.89,0.123188,0.91,0.0788057,0.6096555140127184,0.9004492106087336,0.29079369659601517
1,14,0.63,0.911793,0.65,0.897032,0.93,0.124753,0.95,0.0924939,0.6459785922362984,0.945346367381607,0.29936777514530866
1,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,1,0.19,0.90642,0.21,0.871992,0.47,0.107662,0.49,0.0751651,0.19372952248170094,0.47471552671177863,0.2809860042300777
2,2,0.21,0.923648,0.23,0.890595,0.49,0.137197,0.51,0.0904523,0.22430913986627538,0.5059149593429844,0.281605819476709
2,3,0.25,0.923226,0.27,0.881693,0.53,0.126967,0.55,0.0916375,0.2611843594250355,0.5452659958391712,0.28408163641413575
2,4,0.29,0.904348,0.31,0.888684,0.57,0.113951,0.59,0.0778325,0.29555158324821246,0.5777251270124728,0.28217354376426035
2,5,0.33,0.914773,0.35,0.868491,0.61,0.113111,0.63,0.0747012,0.3363839073505899,0.6168269035506563,0.2804429962000664
2,6,0.35,0.912999,0.37,0.888783,0.65,0.107327,0.67,0.0768057,0.36073587710604554,0.6548012371687969,0.29406536006275136
2,7,0.39,0.921905,0.41,0.895636,0.67,0.126976,0.69,0.09889,0.40667745251056375,0.6892095706045717,0.2825321180940079
2,8,0.43,0.908359,0.45,0.863393,0.71,0.122356,0.73,0.0795569,0.4337179202063781,0.7204469486507894,0.2867290284444113
2,9,0.45,0.910537,0.47,0.893123,0.75,0.107964,0.77,0.0691953,0.4621017572068451,0.7541084689453089,0.2920067117384638
2,10,0.49,0.917339,0.51,0.867329,0.79,0.110403,0.81,0.0679901,0.4969342131573685,0.7949055829712187,0.2979713698138502
2,11,0.51,0.935374,0.53,0.894052,0.83,0.101434,0.85,0.076548,0.5271211461207105,0.8311524551956924,0.3040313090749819
2,12,0.57,0.90579,0.59,0.867089,0.85,0.133758,0.87,0.0954479,0.5729921707449419,0.8676235509695877,0.29463138022464574
2,13,0.59,0.930233,0.61,0.895932,0.89,0.115443,0.91,0.082922,0.6076280574910352,0.8994972479321054,0.2918691904410702
2,14,0.65,0.902111,0.67,0.85287,0.93,0.118343,0.95,0.0910412,0.6508574155683272,0.9434372092682535,0.29257979369992626
2,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,1,0.17,0.926719,0.19,0.894081,0.45,0.134872,0.47,0.0971345,0.18637293951835285,0.4684813514408745,0.2821084119225217
3,2,0.21,0.921025,0.23,0.894386,0.49,0.106297,0.51,0.0832466,0.2257851270693344,0.4954636795890744,0.26967855251974
3,3,0.25,0.926188,0.27,0.881679,0.53,0.112378,0.55,0.0853403,0.2617675076950729,0.53915610425443,0.27738859655935705
3,4,0.29,0.912046,0.31,0.871817,0.55,0.148803,0.57,0.0992239,0.2959887146088642,0.5696869245306995,0.27369820992183524
3,5,0.31,0.929696,0.33,0.884018,0.59,0.134127,0.61,0.0914729,0.32300232059196987,0.6060017442637401,0.2829994236717702
3,6,0.35,0.910068,0.37,0.863553,0.63,0.111169,0.65,0.0809717,0.3543289261528539,0.6373973500942137,0.28306842394135984
3,7,0.37,0.921634,0.39,0.890538,0.67,0.121988,0.69,0.0746509,0.38391432981733986,0.6792899649534931,0.2953756351361533
3,8,0.39,0.9375,0.41,0.882716,0.69,0.124737,0.71,0.0965347,0.4036901285046729,0.7075425408565967,0.30385241235192384
