original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.916562,0.21,0.860801,0.37,0.108992,0.39,0.0802846,0.19594035257617332,0.37626458683126995,0.18032423425509664
1,2,0.19,0.942308,0.21,0.883451,0.37,0.119435,0.39,0.0789749,0.20437653974888287,0.3796069955338716,0.17523045578498875
1,3,0.19,0.964516,0.21,0.891604,0.37,0.128274,0.39,0.0954545,0.20769694974764097,0.38723000045704536,0.1795330507094044
1,4,0.21,0.918074,0.23,0.849866,0.39,0.103748,0.41,0.0739969,0.21529967159277502,0.39251957070494875,0.17721989911217373
1,5,0.21,0.937379,0.23,0.888655,0.37,0.165489,0.39,0.0982043,0.22534315737624167,0.3894662382384108,0.16412308086216915
1,6,0.21,0.957541,0.23,0.881535,0.39,0.130484,0.41,0.0947368,0.2251411730652843,0.4070553218154149,0.18191414875013062
1,7,0.23,0.923965,0.25,0.839662,0.41,0.10549,0.43,0.0733549,0.23568544417161905,0.4134168245936686,0.17773138042204953
1,8,0.23,0.92521,0.25,0.855856,0.41,0.107015,0.43,0.0795885,0.23726994838077112,0.4151154904927716,0.17784554211200046
1,9,0.23,0.946216,0.25,0.883333,0.41,0.11587,0.43,0.0844298,0.24469904425679437,0.4200953556275087,0.17539631137071435
1,10,0.25,0.905486,0.27,0.813686,0.41,0.144722,0.43,0.0974388,0.2511952069716776,0.4289166553871142,0.17772144841543663
1,11,0.25,0.930617,0.27,0.856855,0.41,0.160023,0.43,0.0974529,0.25830156449120145,0.4291858411605543,0.17088427666935285
1,12,0.25,0.934252,0.27,0.881033,0.43,0.118274,0.45,0.0836013,0.26287209455269733,0.4405408577930187,0.17766876324032138
1,13,0.25,0.945787,0.27,0.89498,0.43,0.140869,0.45,0.0962083,0.26802389434526736,0.4483019970578159,0.18027810271254857
1,14,0.27,0.909149,0.29,0.839506,0.45,0.117249,0.47,0.0852834,0.27262739973866723,0.46079222664364194,0.1881648269049747
1,15,0.27,0.91545,0.29,0.874103,0.45,0.126925,0.47,0.0923825,0.27747333542941444,0.4655894912064848,0.18811615577707036
1,16,0.27,0.94293,0.29,0.889187,0.47,0.106599,0.49,0.0799556,0.2859760340881603,0.47495357199156263,0.18897753790340233
1,17,0.27,0.955939,0.29,0.896927,0.47,0.105063,0.49,0.0843882,0.28895851691181457,0.4748977499177743,0.18593923300595971
1,18,0.29,0.91656,0.31,0.837291,0.47,0.120468,0.49,0.0872974,0.29417817810241076,0.48234104900122393,0.18816287089881317
1,19,0.29,0.925926,0.31,0.879557,0.47,0.141662,0.49,0.0851634,0.30118247104746704,0.48474797605604386,0.18356550500857682
1,20,0.31,0.910596,0.33,0.806803,0.49,0.116028,0.51,0.0870021,0.31204175618779684,0.5010439297317223,0.18900217354392546
1,21,0.31,0.916923,0.33,0.840448,0.49,0.121544,0.51,0.0960577,0.31442576005230466,0.5069063379148797,0.19248057786257505
1,22,0.31,0.925614,0.33,0.869322,0.49,0.127684,0.51,0.0910578,0.31910040503091025,0.5051170473595404,0.1860166423286302
1,23,0.31,0.948529,0.33,0.882993,0.51,0.100758,0.53,0.0687267,0.3248098754882812,0.5104732870660885,0.1856634115778073
1,24,0.33,0.912269,0.35,0.828147,0.51,0.105901,0.53,0.0886412,0.33291695394783766,0.5168378544363202,0.18392090048848259
1,25,0.33,0.923497,0.35,0.856949,0.51,0.105968,0.53,0.0894737,0.33706166977219454,0.5172364392547729,0.18017476948257838
1,26,0.33,0.939961,0.35,0.880054,0.51,0.129086,0.53,0.0830619,0.3433410119017811,0.5226394649759583,0.17929845307417713
1,27,0.35,0.915197,0.37,0.847734,0.51,0.141787,0.53,0.0961642,0.3545052843781035,0.528318472342776,0.17381318796467243
