original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.23,0.901086,0.25,0.83383,0.41,0.141479,0.43,0.0810811,0.2303229451647437,0.42373524576185595,0.19341230059711226
1,2,0.23,0.939411,0.25,0.899705,0.43,0.14339,0.45,0.0910088,0.24985140784768045,0.4465670125923041,0.19671560474462363
1,3,0.25,0.924941,0.27,0.878843,0.45,0.123589,0.47,0.0861244,0.2608208599071543,0.46259268749699717,0.20177182758984286
1,4,0.27,0.93191,0.29,0.885542,0.47,0.114492,0.49,0.0837696,0.2837638026224983,0.4794341587896779,0.1956703561671796
1,5,0.29,0.92126,0.31,0.874923,0.49,0.108862,0.51,0.0880337,0.2991762522390314,0.4985095759135407,0.19933332367450934
1,6,0.31,0.92564,0.33,0.874061,0.49,0.151427,0.51,0.0951883,0.31994203067139726,0.5082888295782086,0.18834679890681139
1,7,0.33,0.903759,0.35,0.859554,0.53,0.115807,0.55,0.0758442,0.33170071258907363,0.5379108570971003,0.20621014450802666
1,8,0.35,0.905225,0.37,0.856972,0.55,0.102632,0.57,0.0689482,0.35216566845584724,0.5515627690462478,0.19939710059040056
1,9,0.37,0.90031,0.39,0.840666,0.57,0.103018,0.59,0.0709333,0.3701039501039501,0.5718812705121132,0.20177732040816315
1,10,0.39,0.910336,0.41,0.835,0.57,0.116551,0.59,0.0925829,0.392743973664649,0.5838108569306703,0.19106688326602123
1,11,0.39,0.937463,0.41,0.894919,0.59,0.117162,0.61,0.0941727,0.40761141406543816,0.6049304241538455,0.1973190100884073
1,12,0.41,0.925118,0.43,0.884866,0.61,0.125068,0.63,0.0756869,0.42248037364602997,0.6201528722527445,0.19767249860671454
1,13,0.43,0.92994,0.45,0.876497,0.61,0.154362,0.63,0.0959569,0.4412044608274236,0.6286154976192148,0.18741103679179116
1,14,0.45,0.913763,0.47,0.874776,0.65,0.119978,0.67,0.0670363,0.4570603021519994,0.6575471698113208,0.2004868676593214
1,15,0.47,0.916568,0.49,0.848556,0.65,0.12966,0.67,0.0971489,0.47487208139740045,0.6682460759555967,0.19337399455819626
1,16,0.49,0.916063,0.51,0.833747,0.67,0.133544,0.69,0.0956858,0.4939027649545653,0.6877208636438077,0.19381809868924238
1,17,0.51,0.905756,0.53,0.83201,0.69,0.128947,0.71,0.0831568,0.5115610338187834,0.7026433166922179,0.19108228287343454
1,18,0.51,0.923077,0.53,0.888626,0.71,0.107066,0.73,0.077381,0.5233969986357435,0.7147606535287182,0.1913636548929747
1,19,0.53,0.922717,0.55,0.869485,0.73,0.114318,0.75,0.0845953,0.538535091674181,0.7396343871855517,0.20109929551137073
1,20,0.55,0.923077,0.57,0.882899,0.75,0.115619,0.77,0.080062,0.5614873811538653,0.7587853305959446,0.19729794944207923
1,21,0.57,0.919345,0.59,0.868317,0.77,0.109081,0.79,0.0643998,0.5775821117817668,0.774064796827301,0.19648268504553423
1,22,0.59,0.924603,0.61,0.858534,0.77,0.14217,0.79,0.084855,0.5974476683467284,0.784715170548722,0.18726750220199362
1,23,0.61,0.912291,0.63,0.85,0.79,0.133821,0.81,0.0901088,0.6139463164823168,0.8054743984516909,0.1915280819693741
1,24,0.61,0.945444,0.63,0.895954,0.81,0.120067,0.83,0.0867294,0.6283649222065063,0.8220386590516414,0.1936737368451351
1,25,0.63,0.932654,0.65,0.898345,0.83,0.123684,0.85,0.0790432,0.6490352385671397,0.8406109209512374,0.1915756823840976
1,26,0.65,0.929253,0.67,0.881443,0.85,0.122881,0.87,0.0729592,0.6622371888726208,0.8591667367763182,0.19692954790369732
1,27,0.67,0.938836,0.69,0.87127,0.87,0.108315,0.89,0.0826531,0.6814957227007666,0.8764804242865882,0.1949847015858216
1,28,0.69,0.923378,0.71,0.876202,0.89,0.107715,0.91,0.0634239,0.6999109716805154,0.8934837698770182,0.19357279819650275
2,1,0.21,0.941441,0.23,0.885305,0.41,0.100315,0.43,0.0889587,0.22476450049878866,0.4105547581518628,0.18579025765307416
2,2,0.23,0.927739,0.25,0.889826,0.43,0.11312,0.45,0.0817644,0.24463297549653154,0.43836852109352076,0.19373554559698922
2,3,0.25,0.914737,0.27,0.869006,0.45,0.115322,0.47,0.0789195,0.25644508101725305,0.458418103152256,0.20197302213500296
2,4,0.27,0.912207,0.29,0.854249,0.47,0.107104,0.49,0.0733229,0.27421236067497157,0.47420590211686414,0.19999354144189257
2,5,0.29,0.92454,0.31,0.8539,0.49,0.102965,0.51,0.0667034,0.29694790486976214,0.49163533876056215,0.1946874338908
2,6,0.31,0.902148,0.33,0.859671,0.49,0.146154,0.51,0.0965848,0.31101137085952396,0.5086220475617924,0.19761067670226845
2,7,0.33,0.900592,0.35,0.839296,0.53,0.106116,0.55,0.0650888,0.33019316105455493,0.5329814367054052,0.20278827565085028
2,8,0.33,0.931093,0.35,0.885246,0.53,0.11835,0.55,0.0915033,0.34356381006390824,0.5436702090014788,0.20010639893757054
2,9,0.35,0.920974,0.37,0.88249,0.55,0.113277,0.57,0.0694301,0.3609001143332293,0.5560560723791192,0.19515595804588992
2,10,0.37,0.923651,0.39,0.886694,0.57,0.107393,0.59,0.0846154,0.38279919906918847,0.5764914652992413,0.19369226623005287
2,11,0.39,0.917307,0.41,0.870438,0.57,0.141268,0.59,0.0995025,0.3973852653139602,0.5897617650931989,0.1923764997792387
2,12,0.41,0.921708,0.43,0.867857,0.61,0.112017,0.63,0.0751566,0.418062245826447,0.6165202765026967,0.19845803067624967
2,13,0.43,0.913247,0.45,0.849725,0.63,0.104167,0.65,0.0598111,0.43417083844967097,0.6318788932250275,0.19770805477535658
2,14,0.45,0.909718,0.47,0.857313,0.63,0.139968,0.65,0.0923652,0.45370880641160194,0.6467922895291873,0.19308348311758539
2,15,0.45,0.95432,0.47,0.886702,0.65,0.129219,0.67,0.0962429,0.4660667277943743,0.6677213193797933,0.20165459158541899
2,16,0.47,0.934078,0.49,0.899725,0.69,0.103958,0.71,0.0754815,0.489839897534422,0.6927798360051269,0.20293993847070496
2,17,0.49,0.939807,0.51,0.893655,0.69,0.130619,0.71,0.0933261,0.5072503900156006,0.7064208200488564,0.19917043003325585
2,18,0.51,0.92038,0.53,0.897245,0.71,0.114835,0.73,0.0825928,0.5276183272098551,0.7192022256545769,0.1915838984447218
2,19,0.53,0.927485,0.55,0.892795,0.73,0.111691,0.75,0.0862724,0.5458460651484578,0.7391987756996845,0.19335271055122671
