original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.17,0.929538,0.19,0.89548,0.35,0.13665,0.37,0.0816327,0.1873457043866346,0.36332308201238517,0.17597737762575058
1,2,0.19,0.912507,0.21,0.857228,0.35,0.141818,0.37,0.0975342,0.194525045677382,0.3688863647654447,0.17436131908806268
1,3,0.19,0.915548,0.21,0.862688,0.35,0.14231,0.37,0.0901112,0.19588270904275445,0.36621110063832885,0.1703283915955744
1,4,0.19,0.905205,0.21,0.879373,0.35,0.158692,0.37,0.0887877,0.19402988541344068,0.3667921000567919,0.17276221464335123
1,5,0.19,0.935741,0.21,0.887164,0.37,0.100865,0.39,0.0500544,0.20471519443357966,0.3703404801360346,0.16562528570245494
1,6,0.21,0.904333,0.23,0.839904,0.37,0.105023,0.39,0.0612886,0.21134504648527838,0.37229704763298455,0.16095200114770616
1,7,0.19,0.929912,0.21,0.888519,0.37,0.114368,0.39,0.0662953,0.20445268523663418,0.3759776130735324,0.1715249278368982
1,8,0.19,0.933728,0.21,0.899889,0.37,0.12597,0.39,0.069483,0.20993439522444518,0.37919503602598825,0.16926064080154307
1,9,0.19,0.939341,0.21,0.898813,0.37,0.128485,0.39,0.0778947,0.20941423213580732,0.3812610520198536,0.1718468198840463
1,10,0.21,0.903479,0.23,0.873016,0.37,0.14637,0.39,0.0864991,0.21228408232938317,0.38548999597467215,0.17320591364528898
1,11,0.21,0.915833,0.23,0.886432,0.37,0.143567,0.39,0.0801136,0.22077038195979726,0.3837319670813542,0.16296158512155695
1,12,0.21,0.910695,0.23,0.875,0.37,0.146837,0.39,0.0925508,0.2159924359153943,0.38725558245005176,0.17126314653465746
1,13,0.21,0.922261,0.23,0.87733,0.37,0.14774,0.39,0.0971039,0.2199089715341301,0.388856112536313,0.16894714100218292
1,14,0.21,0.919798,0.23,0.866778,0.39,0.102157,0.41,0.0674352,0.2174681252357601,0.39124244710815687,0.17377432187239678
1,15,0.21,0.919578,0.23,0.896066,0.39,0.118938,0.41,0.0689272,0.2266536236815243,0.3975735641101522,0.1709199404286279
1,16,0.23,0.901593,0.25,0.837353,0.39,0.110914,0.41,0.0728879,0.23049595267745954,0.39574026786864813,0.1652443151911886
1,17,0.21,0.923724,0.23,0.892697,0.39,0.125779,0.41,0.0695217,0.22529248718857764,0.39916467729521327,0.17387219010663563
1,18,0.23,0.901961,0.25,0.859056,0.39,0.140687,0.41,0.0878706,0.23091411257429204,0.40540695693004447,0.17449284435575244
1,19,0.23,0.913745,0.25,0.847458,0.39,0.130383,0.41,0.0858417,0.23414711783607647,0.40364261932184287,0.1694955014857664
1,20,0.23,0.911636,0.25,0.859076,0.39,0.139645,0.41,0.0856322,0.234427701674277,0.40467985366431664,0.17025215199003962
1,21,0.23,0.906268,0.25,0.858727,0.39,0.133615,0.41,0.0933333,0.23263688184935108,0.4066899609500096,0.1740530791006585
1,22,0.23,0.911034,0.25,0.860438,0.39,0.143623,0.41,0.0867816,0.23436160961340818,0.40534902377492465,0.17098741416151647
1,23,0.23,0.910724,0.25,0.867202,0.41,0.104794,0.43,0.0580282,0.23492808234915674,0.4120502161836213,0.17712213383446457
1,24,0.23,0.908431,0.25,0.883749,0.41,0.102706,0.43,0.0528262,0.2368316992140021,0.41108500836009765,0.17425330914609555
1,25,0.23,0.921233,0.25,0.891405,0.39,0.161959,0.41,0.095843,0.24423695856242456,0.4087425131586908,0.16450555459626626
