original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.927675,0.21,0.849211,0.33,0.166006,0.35,0.0945946,0.19705419045677,0.3484861240642251,0.15143193360745508
1,2,0.21,0.918156,0.23,0.836649,0.35,0.159495,0.37,0.099889,0.21445507747800802,0.36996275542730594,0.15550767794929793
1,3,0.23,0.909851,0.25,0.83697,0.37,0.146383,0.39,0.0988531,0.2327033108766345,0.3895173985217726,0.15681408764513807
1,4,0.25,0.904237,0.27,0.807461,0.39,0.144086,0.41,0.0938352,0.25087563032156734,0.40754638732119686,0.1566707569996295
1,5,0.25,0.942972,0.27,0.898542,0.43,0.100579,0.45,0.0525442,0.2693436866981769,0.4302410752204652,0.1608973885222883
1,6,0.29,0.902123,0.31,0.834375,0.43,0.152762,0.45,0.093076,0.2906267343685422,0.44767985792313103,0.15705312355458884
1,7,0.29,0.944693,0.31,0.891239,0.45,0.146991,0.47,0.0966292,0.3067220413813746,0.4686613663530692,0.1619393249716946
1,8,0.31,0.948661,0.33,0.899941,0.47,0.144242,0.49,0.086743,0.32997577996715927,0.4853887893702499,0.1554130094030906
1,9,0.35,0.913396,0.37,0.836538,0.49,0.138393,0.51,0.0824411,0.3534859090790809,0.5037235732834809,0.15023766420440005
1,10,0.35,0.962054,0.37,0.892943,0.51,0.13456,0.53,0.0803619,0.3679577780671673,0.5227532145960836,0.1547954365289163
1,11,0.37,0.954733,0.39,0.893696,0.53,0.119334,0.55,0.0892562,0.38793436767862116,0.5428559934569683,0.15492162577834717
1,12,0.39,0.945035,0.41,0.893875,0.55,0.123196,0.57,0.0797414,0.4076055512118843,0.5606759698627993,0.15307041865091503
1,13,0.41,0.948609,0.43,0.878843,0.57,0.116587,0.59,0.0837412,0.4239348679872717,0.5800999214511444,0.15616505346387272
1,14,0.43,0.939462,0.45,0.885581,0.59,0.115722,0.61,0.0869328,0.444647835043893,0.6009221513623164,0.15627431631842342
1,15,0.45,0.941928,0.47,0.873584,0.61,0.109804,0.63,0.0817228,0.4622696944867143,0.6169826075808726,0.15471291309415836
1,16,0.47,0.943525,0.49,0.888158,0.63,0.119583,0.65,0.0808351,0.4857223616955948,0.6401079026218195,0.1543855409262247
1,17,0.49,0.933143,0.51,0.887195,0.65,0.125839,0.67,0.0744858,0.5044263080003482,0.6600632482493788,0.15563694024903063
1,18,0.51,0.943246,0.53,0.864151,0.67,0.110856,0.69,0.0672,0.5209352045009166,0.674973428623786,0.15403822412286938
1,19,0.53,0.930548,0.55,0.872495,0.69,0.1165,0.71,0.0753463,0.5405241761838321,0.6980187200664825,0.15749454388265038
1,20,0.55,0.924473,0.57,0.871609,0.71,0.11742,0.73,0.0646409,0.559258852905569,0.7166010977830239,0.15734224487745496
