original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.05,0.914368,0.07,0.899374,0.53,0.126701,0.55,0.0872093,0.06916499933306654,0.5435223350729395,0.47435733573987293
1,2,0.11,0.900194,0.13,0.885298,0.55,0.115823,0.57,0.0899195,0.11026047261009671,0.5622168818885479,0.4519564092784512
1,3,0.15,0.903531,0.17,0.883918,0.59,0.110115,0.61,0.0788497,0.1536006730229949,0.5964704320764553,0.44286975905346043
1,4,0.19,0.903319,0.21,0.882891,0.61,0.116564,0.63,0.090824,0.19324946152339922,0.6228702408702409,0.4296207793468417
1,5,0.23,0.909817,0.25,0.892006,0.63,0.129032,0.65,0.0980207,0.24102352478805228,0.6487234975637912,0.40769997277573894
1,6,0.25,0.923638,0.27,0.899531,0.67,0.119105,0.69,0.0926548,0.26961090139793414,0.6844460155310735,0.4148351141331394
1,7,0.29,0.911657,0.31,0.896186,0.71,0.10728,0.73,0.077903,0.30506948484260876,0.7149562582973074,0.4098867734546986
1,8,0.33,0.911645,0.35,0.894968,0.73,0.123547,0.75,0.0898662,0.3439653414882773,0.743982446972756,0.40001710548447866
1,9,0.37,0.906268,0.39,0.871299,0.75,0.127007,0.77,0.0881489,0.3735848894735337,0.7639003193671332,0.3903154298935995
1,10,0.39,0.908066,0.41,0.883742,0.79,0.111528,0.81,0.0807636,0.3966321328728828,0.797494376617129,0.40086224374424617
1,11,0.41,0.917057,0.43,0.888922,0.81,0.118085,0.83,0.0989367,0.42212511107161893,0.8288894053257992,0.4067642942541803
1,12,0.45,0.908412,0.47,0.887644,0.85,0.122654,0.87,0.0926194,0.45810092449922957,0.8650852683238665,0.4069843438246369
1,13,0.47,0.914019,0.49,0.898202,0.87,0.136035,0.89,0.0958647,0.4877264968072326,0.8879411156999076,0.400214618892675
1,14,0.49,0.915174,0.51,0.892295,0.91,0.114732,0.93,0.0827526,0.5032645657589929,0.9192134311463005,0.4159488653873076
1,15,0.53,0.906712,0.55,0.891376,0.97,0.102453,0.99,0.0934809,0.538753260302556,0.9754680621036323,0.43671480180107636
1,15,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,1,0.01,0.906877,0.03,0.895198,0.51,0.119829,0.53,0.0963796,0.02177669321003515,0.5269121597993979,0.5051354665893627
2,2,0.11,0.900844,0.13,0.886383,0.55,0.117978,0.57,0.0807601,0.11116727750501343,0.5596609427184231,0.4484936652134097
2,3,0.17,0.904373,0.19,0.883902,0.57,0.127755,0.59,0.0893519,0.1742723853255825,0.5844545622619007,0.4101821769363182
2,4,0.19,0.900834,0.21,0.892188,0.61,0.111592,0.63,0.0785961,0.1919292158223456,0.6170263275134183,0.4250971116910728
2,5,0.21,0.906393,0.23,0.895531,0.63,0.107823,0.65,0.0953786,0.2217713128337322,0.6425727234740124,0.4208014106402802
2,6,0.27,0.912302,0.29,0.879144,0.65,0.121998,0.67,0.0988687,0.27742023041196695,0.6690217602780888,0.39160152986612184
2,7,0.27,0.914164,0.29,0.893534,0.69,0.115532,0.71,0.0868121,0.28373145904023267,0.7008161936496993,0.4170847346094666
2,8,0.31,0.907822,0.33,0.889607,0.71,0.102229,0.73,0.0838068,0.3185885259401592,0.7124199064172574,0.3938313804770982
2,9,0.35,0.908962,0.37,0.878965,0.73,0.11956,0.75,0.094993,0.35597526419308595,0.745923800219807,0.389948536026721
2,10,0.37,0.91179,0.39,0.893026,0.77,0.113314,0.79,0.0902475,0.3825666169260285,0.7815440140463443,0.3989773971203158
2,11,0.41,0.9036,0.43,0.8811,0.79,0.126074,0.81,0.0926194,0.4131999999999999,0.8055876919765892,0.3923876919765893
2,12,0.43,0.914069,0.45,0.891621,0.81,0.116761,0.83,0.0951937,0.4425347469707769,0.8255429747812661,0.38300822781048927
2,13,0.47,0.902637,0.49,0.877069,0.85,0.104254,0.87,0.0709459,0.47206273466833537,0.8525543336305583,0.38049159896222295
2,14,0.49,0.909817,0.51,0.886649,0.87,0.113735,0.89,0.0911193,0.49847462016574584,0.8821464292504765,0.38367180908473064
2,15,0.53,0.903412,0.55,0.877998,0.91,0.104947,0.93,0.0789838,0.5326851341780121,0.913810778332409,0.38112564415439687
2,16,0.55,0.900344,0.57,0.88007,0.95,0.117129,0.97,0.0962748,0.5503393508927691,0.9664273863298519,0.41608803543708284
2,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,1,0.99,0.0,0.01,0.895528,0.51,0.111004,0.53,0.0747296,1.0100998740407894,0.5160670886355115,NAN
3,2,0.05,0.916209,0.07,0.896486,0.53,0.117509,0.55,0.0951231,0.06643664756882826,0.5456428823500508,0.4792062347812225
3,3,0.11,0.908731,0.13,0.8983,0.55,0.116214,0.57,0.0932367,0.12674048509251262,0.5641130594108098,0.4373725743182972
3,4,0.17,0.907292,0.19,0.882734,0.57,0.12993,0.59,0.0888677,0.17593859434807393,0.5845778487809986,0.4086392544329247
3,5,0.21,0.906195,0.23,0.889708,0.61,0.107562,0.63,0.0860927,0.21751501182750044,0.6170444774631684,0.39952946563566794
3,6,0.23,0.914157,0.25,0.897169,0.63,0.125244,0.65,0.0855327,0.24666705910054154,0.6427137615741615,0.39604670247361995
3,7,0.29,0.900809,0.31,0.882749,0.67,0.111111,0.69,0.0794574,0.29089590254706527,0.6770203705107792,0.38612446796371397
3,8,0.29,0.924797,0.31,0.897495,0.69,0.112494,0.71,0.0877021,0.30816496959929673,0.7000790984152081,0.39191412881591137
3,9,0.33,0.924173,0.35,0.8899,0.71,0.122763,0.73,0.0932945,0.34410614769643744,0.7254490388041468,0.38134289110770936
3,10,0.37,0.905595,0.39,0.885944,0.75,0.105362,0.77,0.0723746,0.3756943666988957,0.7532509382370238,0.3775565715381281
3,11,0.39,0.910138,0.41,0.887617,0.77,0.115367,0.79,0.0931917,0.39900315261311664,0.7838595644703792,0.38485641185726255
