original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.909344,0.21,0.882979,0.39,0.102493,0.41,0.057941,0.19708818509387446,0.39111914167714135,0.19403095658326688
1,2,0.21,0.910279,0.23,0.862822,0.39,0.130831,0.41,0.0890293,0.21433192152896302,0.40475107471705696,0.19041915318809394
1,3,0.23,0.917674,0.25,0.853342,0.41,0.126344,0.43,0.0736961,0.23549462165018964,0.4200076166380805,0.18451299498789087
1,4,0.25,0.904508,0.27,0.829482,0.43,0.118323,0.45,0.0880503,0.2512017167381974,0.4421052961909575,0.1909035794527601
1,5,0.25,0.939921,0.27,0.888358,0.45,0.122283,0.47,0.0819761,0.2654843589395497,0.46105666771694176,0.19557230877739207
1,6,0.27,0.925178,0.29,0.890117,0.47,0.106136,0.49,0.0608974,0.2843623969652891,0.4727127276264075,0.1883503306611184
1,7,0.29,0.926234,0.31,0.880126,0.47,0.138375,0.49,0.0895522,0.30137937017437316,0.485720114372793,0.18434074419841984
1,8,0.31,0.900059,0.33,0.858531,0.51,0.1069,0.53,0.0605573,0.3100284145636679,0.5129778152761924,0.20294940071252443
1,9,0.31,0.941847,0.33,0.892236,0.51,0.118709,0.53,0.0897936,0.32687004898107275,0.5229405092096253,0.19607046022855257
1,10,0.33,0.928492,0.35,0.874856,0.53,0.109802,0.55,0.082001,0.3406242076217466,0.5370515449084565,0.1964273372867099
1,11,0.35,0.937215,0.37,0.899652,0.55,0.109284,0.57,0.0870918,0.3698147112850411,0.558366903686881,0.1885521924018399
1,12,0.37,0.922369,0.39,0.882042,0.57,0.107742,0.59,0.0658106,0.3810938081186302,0.5736926980735201,0.19259888995488988
1,13,0.39,0.928074,0.41,0.871748,0.59,0.100754,0.61,0.0753687,0.399968398253027,0.5905940445848581,0.1906256463318311
1,14,0.41,0.920653,0.43,0.844521,0.59,0.13518,0.61,0.0884908,0.4154255766300636,0.605069866264575,0.18964428963451146
1,15,0.41,0.938693,0.43,0.890931,0.61,0.111111,0.63,0.0757919,0.42620242033415684,0.6162917798018636,0.19008935946770672
1,16,0.43,0.930997,0.45,0.898863,0.63,0.107647,0.65,0.0889994,0.44929233833322957,0.638201591625732,0.1889092532925024
1,17,0.45,0.936009,0.47,0.879159,0.65,0.126197,0.67,0.08646,0.46266807387862796,0.6631851926416187,0.20051711876299072
1,18,0.47,0.91546,0.49,0.864286,0.67,0.110553,0.69,0.0683761,0.4760421307695314,0.6750041610455012,0.19896203027596981
1,19,0.49,0.914417,0.51,0.862283,0.69,0.106371,0.71,0.0710027,0.49553074768864847,0.6936026611400604,0.19807191345141195
1,20,0.51,0.919236,0.53,0.8462,0.69,0.131836,0.71,0.0976,0.5152675392956898,0.7085979670522257,0.19333042775653586
1,21,0.53,0.902825,0.55,0.837854,0.71,0.12275,0.73,0.0948746,0.5308696187529821,0.726322635728994,0.19545301697601192
1,22,0.53,0.944785,0.55,0.879051,0.73,0.130577,0.75,0.0827318,0.5436261295524386,0.7427816374474346,0.19915550789499603
1,23,0.55,0.935232,0.57,0.881075,0.75,0.107557,0.77,0.0884354,0.5630110604354008,0.7579041502803112,0.19489308984491038
1,24,0.57,0.921188,0.59,0.88437,0.77,0.101489,0.79,0.0719697,0.5815095877016676,0.7710088315102323,0.18949924380856464
1,25,0.59,0.922671,0.61,0.875309,0.79,0.11074,0.81,0.070906,0.5995734977408048,0.7953923783702365,0.19581888062943165
1,26,0.61,0.915656,0.63,0.856698,0.79,0.142111,0.81,0.0883694,0.6153108992842362,0.8056716584545306,0.19036075917029438
1,27,0.63,0.920048,0.65,0.835766,0.81,0.132345,0.83,0.0973223,0.6347573621888423,0.8284708774594763,0.19371351527063407
1,28,0.65,0.904617,0.67,0.834399,0.83,0.124588,0.85,0.08742,0.6513150474237375,0.8432307361170899,0.1919156886933524
1,29,0.65,0.934783,0.67,0.883524,0.85,0.116918,0.87,0.07431,0.663571470375934,0.8579412316935786,0.1943697613176446
1,30,0.67,0.922235,0.69,0.872222,0.87,0.111111,0.89,0.0849009,0.6788916881610781,0.8784784109942351,0.19958672283315693
2,1,0.19,0.919907,0.21,0.879601,0.37,0.145038,0.39,0.0954907,0.19987793380638116,0.38817979990837037,0.1883018661019892
2,2,0.21,0.915067,0.23,0.856226,0.39,0.123864,0.41,0.0918142,0.21512125898608112,0.4048918245979694,0.1897705656118883
2,3,0.23,0.905405,0.25,0.852469,0.41,0.13449,0.43,0.0864266,0.2320420885597703,0.4243518768959333,0.192309788336163
2,4,0.25,0.913223,0.27,0.840977,0.43,0.116159,0.45,0.0852183,0.2536605486808958,0.44044514183583433,0.1867845931549385
2,5,0.25,0.937775,0.27,0.87065,0.45,0.112795,0.47,0.0777288,0.26125512104283055,0.4572976256338012,0.19604250459097067
2,6,0.27,0.928926,0.29,0.883902,0.47,0.100229,0.49,0.0823529,0.2828491471215352,0.470256208009577,0.18740706088804182
2,7,0.29,0.941899,0.31,0.890562,0.49,0.104593,0.51,0.0682557,0.30632311977715876,0.4925279808901597,0.18620486111300094
2,8,0.31,0.921739,0.33,0.879403,0.49,0.13253,0.51,0.095624,0.32026974678760395,0.5076285698802363,0.18735882309263235
2,9,0.33,0.910024,0.35,0.875974,0.51,0.132619,0.53,0.0933562,0.33588781204111606,0.5266157278645436,0.19072791582342752
2,10,0.35,0.913631,0.37,0.843546,0.55,0.100927,0.57,0.0709677,0.3538898480416637,0.5506188395590017,0.19672899151733803
2,11,0.35,0.931149,0.37,0.88538,0.55,0.126121,0.57,0.0946089,0.3636113963599816,0.5665783936963897,0.20296699733640816
2,12,0.37,0.932733,0.39,0.884845,0.57,0.1207,0.59,0.0823848,0.38367064817908453,0.5808051112874264,0.19713446310834187
2,13,0.39,0.927312,0.41,0.88915,0.59,0.100694,0.61,0.0775956,0.4043137152140873,0.5906009074221591,0.18628719220807177
2,14,0.41,0.92924,0.43,0.880883,0.61,0.106069,0.63,0.0742086,0.4220933887544719,0.6138097450126175,0.19171635625814565
2,15,0.43,0.914845,0.45,0.860222,0.63,0.106293,0.65,0.0729387,0.43543543928381817,0.6337734265147222,0.19833798723090407
2,16,0.45,0.914168,0.47,0.850091,0.63,0.128539,0.65,0.0979748,0.4544221795652106,0.6486747894595638,0.19425260989435322
2,17,0.47,0.905516,0.49,0.848268,0.65,0.121842,0.67,0.0869565,0.47192705422023473,0.6625221080391567,0.19059505381892194
2,18,0.47,0.941585,0.49,0.892499,0.67,0.107521,0.69,0.083603,0.48694373141017805,0.6762889873735263,0.18934525596334822
2,19,0.49,0.931293,0.51,0.88057,0.69,0.12103,0.71,0.0779292,0.5023387812235081,0.6997585195634419,0.19741973833993387
2,20,0.51,0.923546,0.53,0.877804,0.71,0.101632,0.73,0.0720294,0.52029513357527,0.7111026058521887,0.19080747227691863
