original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.11,0.905109,0.13,0.876963,0.53,0.101832,0.55,0.0755906,0.11363035600085272,0.5313962669674637,0.417765910966611
1,2,0.09,0.914347,0.11,0.897143,0.55,0.116869,0.57,0.088968,0.1066786793768891,0.5620920397118383,0.45541336033494917
1,3,0.11,0.918812,0.13,0.875244,0.57,0.111967,0.59,0.097166,0.11863569592361364,0.5861705290183096,0.4675348330946959
1,4,0.13,0.912644,0.15,0.878182,0.61,0.112565,0.63,0.0819165,0.1373379374383379,0.6181994224839714,0.48086148504563353
1,5,0.15,0.912844,0.17,0.892473,0.63,0.116076,0.65,0.0870672,0.16261008296107204,0.6410835332726621,0.47847345031159005
1,6,0.19,0.923977,0.21,0.888686,0.65,0.113905,0.67,0.0984484,0.20358816695474766,0.6679923139629673,0.46440414700821964
1,7,0.23,0.911927,0.25,0.88697,0.67,0.12989,0.69,0.0904255,0.23955803982850504,0.6851477910527183,0.44558975122421324
1,8,0.25,0.919132,0.27,0.853577,0.69,0.119035,0.71,0.0872375,0.25583693082144765,0.7019726393584401,0.44613570853699247
1,9,0.27,0.913127,0.29,0.876866,0.73,0.10566,0.75,0.0874258,0.27724028570640635,0.7362081144223492,0.4589678287159429
1,10,0.27,0.911638,0.29,0.899614,0.75,0.101784,0.77,0.0882056,0.28935795076513643,0.7526277028221292,0.4632697520569928
1,11,0.29,0.912393,0.31,0.872154,0.77,0.101523,0.79,0.0902601,0.29615969581749046,0.7727044544477888,0.4765447586302983
1,12,0.31,0.915743,0.33,0.881874,0.81,0.104404,0.83,0.073999,0.31929640674362986,0.8128968919585595,0.49360048521492966
1,13,0.35,0.909427,0.37,0.893428,0.83,0.108163,0.85,0.0791624,0.36178448653040807,0.8356295386991993,0.47384505216879125
1,14,0.43,0.90268,0.45,0.868421,0.85,0.113709,0.87,0.0991357,0.43156455238039637,0.8688138582201698,0.4372493058397734
1,15,0.41,0.916327,0.43,0.883186,0.87,0.135507,0.89,0.0973589,0.4198530521106786,0.8886153438834438,0.4687622917727652
1,16,0.39,0.946429,0.41,0.893678,0.91,0.117975,0.93,0.0798442,0.4076030786146234,0.919428073893021,0.5118249952783975
1,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,18,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,1,0.07,0.906716,0.09,0.897397,0.51,0.11246,0.53,0.0906749,0.08441356368709083,0.5214390110671974,0.4370254473801065
2,2,0.09,0.928187,0.11,0.875874,0.53,0.11705,0.55,0.0930962,0.10077628887656988,0.5442357371273034,0.4434594482507336
2,3,0.13,0.910233,0.15,0.872146,0.55,0.131963,0.57,0.096496,0.13537348701656732,0.5680240787210646,0.4326505917044973
2,4,0.15,0.903108,0.17,0.868702,0.59,0.118291,0.61,0.0828877,0.15180666162878567,0.6003329350653752,0.4485262734365896
2,5,0.17,0.915751,0.19,0.879479,0.61,0.108941,0.63,0.0885046,0.17868493603881783,0.6187500733984459,0.44006513735962804
2,6,0.21,0.907216,0.23,0.885321,0.63,0.123631,0.65,0.0932476,0.21659145923726877,0.6455552044866605,0.42896374524939174
2,7,0.21,0.910042,0.23,0.882243,0.67,0.119615,0.69,0.0935065,0.21722472031368034,0.6850257578949385,0.46780103758125813
2,8,0.21,0.909548,0.23,0.894292,0.71,0.103043,0.73,0.0841683,0.22251704247509171,0.7132244221100202,0.4907073796349285
2,9,0.25,0.927966,0.27,0.898608,0.73,0.109062,0.75,0.0903522,0.26905170651951765,0.7396869020513314,0.4706351955318137
2,10,0.27,0.904206,0.29,0.882479,0.75,0.129678,0.77,0.091047,0.27387168039766185,0.7653648624161943,0.4914931820185324
2,11,0.31,0.926499,0.33,0.895595,0.79,0.112029,0.81,0.093293,0.32714923634480975,0.8028405209222886,0.4756912845774789
2,12,0.33,0.90595,0.35,0.866889,0.81,0.124748,0.83,0.0919118,0.3330465169862523,0.8250736077865284,0.49202709080027607
2,13,0.37,0.901478,0.39,0.885845,0.85,0.104291,0.87,0.0876452,0.3718908718736007,0.8551556548799096,0.48326478300630893
