Number,GROWTH,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Actual_Timed_Gens
0,2,14,0,15,1003,14.99700897,27,960,28,1007,27.85106383,12.85405486
0,2,12,0,13,1028,12.97276265,25,931,26,1038,25.64485981,12.67209717
0,2,16,0,17,1032,16.96899225,24,894,25,1016,24.86885246,7.899860211
0,2,23,0,24,1008,23.99206349,26,987,27,1030,26.30232558,2.310262089
0,2,16,0,17,1015,16.98522167,30,985,31,1013,30.53571429,13.55049261
0,2,12,0,13,1002,12.99800399,27,995,28,1028,27.15151515,14.15351116
0,2,17,0,18,1003,17.99700897,25,888,26,1015,25.88188976,7.884880791
0,2,12,0,13,1019,12.98135427,25,947,26,1052,25.5047619,12.52340764
0,2,15,0,16,1014,15.98619329,25,962,26,1080,25.3220339,9.335840604
0,2,14,0,15,1027,14.97370983,26,892,27,1008,26.93103448,11.95732465
0,2,14,0,15,1006,14.99403579,28,931,29,1009,28.88461538,13.8905796
0,2,14,0,15,1002,14.99800399,23,948,24,1002,23.96296296,8.964958971
0,2,13,0,14,1051,13.95147479,29,930,30,1008,29.8974359,15.94596111
0,2,14,0,15,1021,14.97943193,26,950,27,1031,26.61728395,11.63785202
0,2,14,0,15,1007,14.99304866,26,960,27,1025,26.61538462,11.62233596
0,2,13,0,14,1064,13.93984962,26,986,27,1037,26.2745098,12.33466018
0,2,12,0,13,1018,12.98231827,26,989,27,1021,26.34375,13.36143173
0,2,12,0,13,1053,12.94966762,29,927,30,1035,29.67592593,16.72625831
0,2,12,0,13,1025,12.97560976,26,951,27,1045,26.5212766,13.54566684
0,2,11,0,12,1039,11.96246391,30,938,31,1039,30.61386139,18.65139748
1,2,15,0,16,1002,15.99800399,26,952,27,1004,26.92307692,10.92507293
1,2,15,0,16,1008,15.99206349,27,992,28,1008,27.5,11.50793651
1,2,16,0,17,1070,16.93457944,33,941,34,1016,33.78666667,16.85208723
1,2,13,0,14,1010,13.99009901,27,922,28,1032,27.70909091,13.7189919
1,2,14,0,15,1038,14.96339114,28,957,29,1039,28.52439024,13.56099911
1,2,14,0,15,1014,14.98619329,29,1000,30,1030,29,14.01380671
1,2,13,0,14,1067,13.93720712,25,986,26,1056,25.2,11.26279288
1,2,13,0,14,1042,13.9596929,27,934,28,1019,27.77647059,13.81677769
1,2,13,0,14,1013,13.98716683,33,988,34,1013,33.48,19.49283317
1,2,14,0,15,1037,14.96432015,25,999,26,1046,25.0212766,10.05695644
1,2,15,0,16,1008,15.99206349,25,952,26,1067,25.4173913,9.425327812
1,2,14,0,15,1065,14.93896714,25,984,26,1054,25.22857143,10.28960429
1,2,19,0,20,1011,19.98911968,26,995,27,1006,26.45454545,6.465425771
1,2,14,0,15,1037,14.96432015,26,982,27,1017,26.51428571,11.54996556
1,2,16,0,17,1012,16.98814229,25,976,26,1006,25.8,8.811857708
1,2,12,0,13,1081,12.92506938,23,937,24,1009,23.875,10.94993062
1,2,15,0,16,1089,15.91827365,27,988,28,1046,27.20689655,11.28862291
1,2,13,0,14,1047,13.95510984,25,963,26,1016,25.69811321,11.74300337
1,2,13,0,14,1010,13.99009901,23,919,24,1009,23.9,9.90990099
1,2,12,0,13,1005,12.99502488,29,927,30,1025,29.74489796,16.74987308
2,2,26,0,27,1044,26.95785441,29,983,30,1011,29.60714286,2.649288451
2,2,12,0,13,1025,12.97560976,24,913,25,1020,24.81308411,11.83747436
2,2,15,0,16,1002,15.99800399,30,951,31,1046,30.51578947,14.51778548
2,2,13,0,14,1032,13.96899225,29,964,30,1006,29.85714286,15.88815061
2,2,10,0,11,1046,10.95602294,24,913,25,1005,24.94565217,13.98962923
2,2,15,0,16,1018,15.98231827,28,961,29,1026,28.6,12.61768173
2,2,13,0,14,1076,13.92936803,23,904,24,1018,23.84210526,9.912737233
2,2,12,0,13,1012,12.98814229,31,951,32,1057,31.46226415,18.47412186
2,2,12,0,13,1029,12.9718173,29,956,30,1040,29.52380952,16.55199223
2,2,20,0,21,1018,20.98231827,28,971,29,1017,28.63043478,7.648116511
2,2,18,0,19,1027,18.97370983,27,965,28,1022,27.61403509,8.640325253
2,2,15,0,16,1040,15.96153846,29,919,30,1011,29.88043478,13.91889632
2,2,13,0,14,1038,13.96339114,25,986,26,1014,25.5,11.53660886
2,2,15,0,16,1019,15.98135427,31,961,32,1099,31.2826087,15.30125443
2,2,15,0,16,1028,15.97276265,33,974,34,1060,33.30232558,17.32956294
2,2,12,0,13,1005,12.99502488,27,957,28,1016,27.72881356,14.73378868
2,2,12,0,13,1003,12.99700897,27,989,28,1023,27.32352941,14.32652044
2,2,15,0,16,1023,15.97751711,32,962,33,1052,32.42222222,16.44470512
2,2,14,0,15,1009,14.99108028,23,901,24,1005,23.95192308,8.960842799
2,2,13,0,14,1017,13.98328417,24,908,25,1048,24.65714286,10.67385869
3,2,15,0,16,1083,15.92336103,27,994,28,1030,27.16666667,11.24330563
3,2,15,0,16,1090,15.91743119,26,999,27,1031,26.03125,10.11381881
3,2,15,0,16,1037,15.96432015,27,986,28,1013,27.51851852,11.55419836
3,2,11,0,12,1034,11.96711799,25,958,26,1041,25.5060241,13.53890611
3,2,13,0,14,1045,13.9569378,29,978,30,1001,29.95652174,15.99958394
3,2,11,0,12,1009,11.99108028,25,965,26,1023,25.60344828,13.612368
3,2,15,0,16,1010,15.99009901,33,927,34,1023,33.76041667,17.77031766
3,2,17,0,18,1029,17.9718173,28,992,29,1024,28.25,10.2781827
3,2,14,0,15,1040,14.96153846,26,899,27,1020,26.83471074,11.87317228
3,2,13,0,14,1004,13.99601594,29,981,30,1034,29.35849057,15.36247463
3,2,13,0,14,1027,13.97370983,27,964,28,1040,27.47368421,13.49997438
3,2,13,0,14,1028,13.97276265,27,971,28,1100,27.2248062,13.25204356
3,2,13,0,14,1042,13.9596929,26,966,27,1002,26.94444444,12.98475155
3,2,15,0,16,1004,15.99601594,25,944,26,1030,25.65116279,9.655146854
3,2,18,0,19,1065,18.93896714,23,911,24,1006,23.93684211,4.997874969
3,2,23,0,24,1024,23.9765625,29,966,30,1041,29.45333333,5.476770833
3,2,14,0,15,1053,14.94966762,26,943,27,1045,26.55882353,11.60915591
3,2,13,0,14,1063,13.94073377,24,959,25,1003,24.93181818,10.99108441
3,2,13,0,14,1039,13.96246391,29,950,30,1047,29.51546392,15.55300001
3,2,16,0,17,1026,16.97465887,26,976,27,1015,26.61538462,9.640725746
4,2,15,0,16,1018,15.98231827,26,947,27,1065,26.44915254,10.46683427
4,2,16,0,17,1028,16.97276265,25,903,26,1006,25.94174757,8.968984927
4,2,15,0,16,1039,15.96246391,27,982,28,1025,27.41860465,11.45614074
4,2,16,0,17,1009,16.99108028,28,974,29,1031,28.45614035,11.46506007
4,2,16,0,17,1028,16.97276265,33,973,34,1030,33.47368421,16.50092156
4,2,16,0,17,1034,16.96711799,26,990,27,1001,26.90909091,9.941972921
4,2,14,0,15,1004,14.99601594,35,986,36,1066,35.175,20.17898406
4,2,13,0,14,1004,13.99601594,26,980,27,1043,26.31746032,12.32144438
4,2,14,0,15,1073,14.93196645,26,914,27,1036,26.70491803,11.77295158
4,2,17,0,18,1014,17.98619329,25,954,26,1023,25.66666667,7.680473373
4,2,11,0,12,1031,11.9699321,25,874,26,1005,25.96183206,13.99189996
4,2,15,0,16,1025,15.97560976,31,998,32,1031,31.06060606,15.0849963
4,2,18,0,19,1048,18.95419847,29,955,30,1016,29.73770492,10.78350644
4,2,14,0,15,1062,14.94161959,30,980,31,1015,30.57142857,15.62980899
4,2,14,0,15,1024,14.9765625,27,978,28,1027,27.44897959,12.47241709
4,2,14,0,15,1023,14.97751711,33,943,34,1072,33.44186047,18.46434336
4,2,15,0,16,1074,15.9310987,26,921,27,1003,26.96341463,11.03231594
4,2,13,0,14,1020,13.98039216,26,975,27,1012,26.67567568,12.69528352
4,2,13,0,14,1007,13.99304866,24,920,25,1039,24.67226891,10.67922025
4,2,15,0,16,1012,15.98814229,30,954,31,1021,30.68656716,14.69842487
5,2,20,0,21,1025,20.97560976,28,955,29,1027,28.625,7.649390244
5,2,14,0,15,1001,14.999001,25,856,26,1001,25.99310345,10.99410245
5,2,14,0,15,1060,14.94339623,26,938,27,1047,26.56880734,11.62541111
5,2,13,0,14,1003,13.99700897,31,1000,32,1005,31,17.00299103
5,2,16,0,17,1115,16.89686099,27,973,28,1012,27.69230769,10.79544671
5,2,12,0,13,1036,12.96525097,27,945,28,1049,27.52884615,14.56359519
5,2,17,0,18,1034,17.96711799,25,965,26,1023,25.60344828,7.636330287
5,2,12,0,13,1057,12.94607379,28,992,29,1028,28.22222222,15.27614843
5,2,11,0,12,1001,11.999001,25,937,26,1019,25.76829268,13.76929168
5,2,17,0,18,1026,17.97465887,30,954,31,1014,30.76666667,12.7920078
5,2,13,0,14,1009,13.99108028,35,948,36,1039,35.57142857,21.58034829
5,2,14,0,15,1004,14.99601594,27,978,28,1006,27.78571429,12.78969835
5,2,17,0,18,1033,17.96805421,29,988,30,1008,29.6,11.63194579
5,2,15,0,16,1005,15.99502488,25,999,26,1002,25.33333333,9.338308458
5,2,14,0,15,1003,14.99700897,32,995,33,1034,32.12820513,17.13119616
5,2,13,0,14,1003,13.99700897,26,978,27,1002,26.91666667,12.91965769
5,2,12,0,13,1033,12.96805421,31,987,32,1040,31.24528302,18.27722881
5,2,12,0,13,1024,12.9765625,29,993,30,1037,29.15909091,16.18252841
5,2,15,0,16,1023,15.97751711,24,985,25,1060,24.2,8.222482893
5,2,14,0,15,1006,14.99403579,27,935,28,1023,27.73863636,12.74460058
6,2,23,0,24,1030,23.97087379,26,967,27,1002,26.94285714,2.971983356
6,2,12,0,13,1021,12.97943193,29,960,30,1043,29.48192771,16.50249578
6,2,17,0,18,1017,17.98328417,25,935,26,1060,25.52,7.536715831
6,2,14,0,15,1020,14.98039216,32,996,33,1014,32.22222222,17.24183007
6,2,11,0,12,1009,11.99108028,27,996,28,1004,27.5,15.50891972
6,2,15,0,16,1040,15.96153846,27,992,28,1025,27.24242424,11.28088578
6,2,13,0,14,1026,13.97465887,29,967,30,1010,29.76744186,15.79278299
6,2,14,0,15,1023,14.97751711,30,981,31,1063,30.23170732,15.25419021
6,2,14,0,15,1028,14.97276265,28,964,29,1029,28.55384615,13.58108351
6,2,19,0,20,1014,19.98619329,28,988,29,1047,28.20338983,8.217196537
6,2,15,0,16,1003,15.99700897,26,985,27,1024,26.38461538,10.38760641
