"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg",10,0.0307,0,10000,1,81,0.000511288,2.56e-07,9.92e-06,1.31e-09,56253.85728,1605790.436,3087,0,10000,0,10000,1,0.637258,0,10000,11053.85149,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,81,0.000511444,2.4e-07,1.24e-05,2.98e-09,56250.72624,1831870.856,3087,0,10000,0,10000,1,0.650284,0,10000,11038.92332,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,83,0.000480699,1.91e-07,1.06e-05,1.43e-09,56295.66699,1580529.526,3085,0,10000,0,10000,1,0.650642,0,10000,11087.41323,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000522267,4.52e-07,1.63e-05,7.2e-09,56180.88975,2782563.134,3088,0,10000,0,10000,1,0.675501,0,10000,10989.65559,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,78,0.000538552,4.6e-07,1.19e-05,2.14e-09,56172.84187,2073526.856,3090,0,10000,0,10000,1,0.688213,0,10000,10985.36929,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,82,0.000507057,2.25e-07,1.14e-05,2.6e-09,56207.52888,2031757.649,3086,0,10000,0,10000,1,0.689039,0,10000,11003.88658,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000547287,3.27e-07,1.67e-05,7.03e-09,56181.05447,2026333.099,3088,0,10000,0,10000,1,0.651642,0,10000,10997.20773,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,82,0.000490538,1.85e-07,9.42e-06,8.96e-10,56296.40785,1107314.691,3086,0,10000,0,10000,1,0.659573,0,10000,11078.66337,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000520221,2.75e-07,1.17e-05,1.91e-09,56254.52947,1717207.574,3092,0,10000,0,10000,1,0.654768,0,10000,11048.35035,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,79,0.000512344,2.77e-07,1.16e-05,1.68e-09,56234.54619,1655706.214,3089,0,10000,0,10000,1,0.642369,0,10000,11053.69987,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,75,0.000490766,3.09e-07,9.07e-06,9.9e-10,56349.14276,1353826.332,3093,0,10000,0,10000,1,0.654343,0,10000,11143.1317,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000538133,4.92e-07,1.58e-05,6.25e-09,56186.10409,2695789.836,3088,0,10000,0,10000,1,0.65298,0,10000,11036.38302,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000537871,4.73e-07,1.44e-05,4.52e-09,56252.68093,2051306.146,3088,0,10000,0,10000,1,0.645973,0,10000,11066.79463,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,81,0.000511609,2.64e-07,1.17e-05,2.73e-09,56289.27279,2190373.848,3087,0,10000,0,10000,1,0.634607,0,10000,11117.64452,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,78,0.000535177,4.53e-07,1.18e-05,2.3e-09,56197.70674,1900692.521,3090,0,10000,0,10000,1,0.664189,0,10000,11003.126,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,80,0.000520263,3.19e-07,1.29e-05,2.32e-09,56189.2928,2151801.06,3088,0,10000,0,10000,1,0.675382,0,10000,10989.60875,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,85,0.000507519,3.47e-07,1.48e-05,6.11e-09,56195.70055,2103143.207,3083,0,10000,0,10000,1,0.633047,0,10000,11000.12624,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,81,0.000518408,3.37e-07,1.11e-05,1.96e-09,56267.71781,1864091.534,3087,0,10000,0,10000,1,0.644033,0,10000,11077.40977,1,0,0,"Long term chasing"
"zpg",10,0.0307,0,10000,1,76,0.000497063,2.07e-07,1.05e-05,1.65e-09,56240.534,1536577.031,3092,0,10000,0,10000,1,0.669219,0,10000,11046.12022,1,0,0,"Long term chasing"
