"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg2",10,0.0307,0,10000,1,74,0.008179186,1.7e-05,0.001129131,4.7e-07,35998.96796,10036149.07,3094,0,10000,0,10000,1,0.907131,0,10000,4757.769747,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008534555,2.3e-05,0.001218433,5.83e-07,35473.34832,10670889.25,3096,0,10000,0,10000,1,0.900573,0,10000,4676.37488,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,69,0.008758896,2.56e-05,0.001305795,1.37e-06,35780.9874,13953268.23,3099,0,10000,0,10000,1,0.90254,0,10000,4787.668477,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,68,0.008206043,1.73e-05,0.001241875,7.68e-07,35950.98224,12179747.88,3100,0,10000,0,10000,1,0.88711,0,10000,4814.150335,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.00860518,1.77e-05,0.00123066,8.3e-07,35706.20828,13624261.08,3096,0,10000,0,10000,1,0.895079,0,10000,4736.229147,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.009018249,4.3e-05,0.001323631,3.95e-06,35986.1575,18327614.88,3096,0,10000,0,10000,1,0.889258,0,10000,4845.128197,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,75,0.008905959,2.07e-05,0.001310885,7.46e-07,35720.07931,10436755.19,3093,0,10000,0,10000,1,0.909564,0,10000,4745.09952,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,73,0.00896319,1.52e-05,0.001380822,8.32e-07,35554.24555,11988974.97,3095,0,10000,0,10000,1,0.91222,0,10000,4750.064258,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,80,0.009274816,7.01e-05,0.001408982,6.53e-06,35895.22211,16508882.79,3088,0,10000,0,10000,1,0.918853,0,10000,4794.473566,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,68,0.008651169,5.61e-05,0.001490545,9.78e-06,35536.41021,17585973.21,3100,0,10000,0,10000,1,0.882866,0,10000,4702.197062,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008663959,2.27e-05,0.001262032,8.82e-07,35931.0207,13456645.45,3096,0,10000,0,10000,1,0.890554,0,10000,4798.222506,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.008491853,1.87e-05,0.001217099,7.23e-07,35733.6408,10331433.64,3097,0,10000,0,10000,1,0.900177,0,10000,4739.6623,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,72,0.008325441,2.23e-05,0.001275605,1.56e-06,35786.20699,17072632.04,3096,0,10000,0,10000,1,0.904601,0,10000,4761.088555,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,71,0.008714433,2.7e-05,0.001253569,8.53e-07,35703.50663,10146232.73,3097,0,10000,0,10000,1,0.890488,0,10000,4752.778594,1,0,0,"Long term chasing"
"zpg2",10,0.0307,0,10000,1,74,0.008768549,2.08e-05,0.001274521,6.41e-07,35626.5945,12086420.96,3094,0,10000,0,10000,1,0.887417,0,10000,4718.165707,1,0,0,"Long term chasing"
