"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpg2X",10,0.0307,0,10000,1,46,0.001015333,1.46e-06,0.000204262,2.51e-07,40693.38486,5274676.91,3122,0,10000,0,10000,1,0.672398,0,10000,5733.218373,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,56,0.001271514,1.19e-05,0.000321195,2.14e-06,40501.58462,9037304.321,3112,0,10000,0,10000,1,0.642613,0,10000,5662.976729,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,54,0.001115465,3.9e-06,0.000227762,6.59e-07,40555.46624,6281493.858,3114,0,10000,0,10000,1,0.659727,0,10000,5675.307643,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,50,0.001029387,1.91e-06,0.000198454,2.29e-07,40713.07001,5105716.436,3118,0,10000,0,10000,1,0.668971,0,10000,5732.511931,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,50,0.001076803,3.77e-06,0.000195589,1.9e-07,40660.61561,4683634.352,3118,0,10000,0,10000,1,0.653582,0,10000,5704.55902,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,50,0.001062695,2.74e-06,0.00022612,5.66e-07,40713.04785,7096240.398,3118,0,10000,0,10000,1,0.659339,0,10000,5734.419663,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,51,0.001085245,3.29e-06,0.000220852,4.98e-07,40637.5734,8273226.412,3117,0,10000,0,10000,1,0.667478,0,10000,5722.945912,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,54,0.001051004,2.32e-06,0.000203433,3.22e-07,40676.12701,6414936.775,3114,0,10000,0,10000,1,0.653308,0,10000,5712.798089,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,55,0.001062936,2.79e-06,0.00020166,3.06e-07,40698.23448,5312718.758,3113,0,10000,0,10000,1,0.663285,0,10000,5713.946161,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,54,0.001080884,4.22e-06,0.000211145,4.28e-07,40647.30965,6820006.648,3114,0,10000,0,10000,1,0.669904,0,10000,5689.016884,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,52,0.001215817,8.92e-06,0.000281566,1.47e-06,40594.60829,10390451.78,3116,0,10000,0,10000,1,0.651453,0,10000,5709.108564,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,45,0.001080647,3.21e-06,0.000209387,3.69e-07,40658.01731,6311184.456,3123,0,10000,0,10000,1,0.651134,0,10000,5747.320102,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,54,0.001077555,1.75e-06,0.000214626,2.15e-07,40480.53248,5568042.9,3114,0,10000,0,10000,1,0.659102,0,10000,5653.144904,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,50,0.00103205,1.36e-06,0.00019744,1.65e-07,40593.21997,5135539.114,3118,0,10000,0,10000,1,0.657676,0,10000,5698.644402,1,0,0,"Long term chasing"
"zpg2X",10,0.0307,0,10000,1,46,0.001023786,1.54e-06,0.000194689,2.06e-07,40665.83194,6613170.808,3122,0,10000,0,10000,1,0.664195,0,10000,5732.280038,1,0,0,"Long term chasing"
