"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"nos",6,0.0307,0,10000,1,138,0.002301882,6.79e-07,0.000227779,1.58e-08,44875.74356,6141944.834,3030,0,10000,0,10000,1,0.761193,0,10000,10075.16043,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,141,0.002419969,7.11e-07,0.000246591,2.29e-08,44646.13133,6182881.529,3027,0,10000,0,10000,1,0.72256,0,10000,9943.271138,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,147,0.002228478,4.77e-07,0.000219778,1.53e-08,45536.7766,5787285.888,3021,0,10000,0,10000,1,0.746638,0,10000,10446.81749,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,167,0.002343055,7.16e-07,0.000236434,2.06e-08,45121.53654,4863815.232,3001,0,10000,0,10000,1,0.792377,0,10000,10215.72536,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,134,0.002301047,5.91e-07,0.000237692,1.58e-08,44856.90231,6276280.722,3034,0,10000,0,10000,1,0.781442,0,10000,10010.4014,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,143,0.002423185,7.94e-07,0.000243348,2e-08,45076.23039,6276146.729,3025,0,10000,0,10000,1,0.779861,0,10000,10251.03805,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,140,0.002166967,5.34e-07,0.000212014,1.66e-08,45205.13624,6037303.815,3028,0,10000,0,10000,1,0.776536,0,10000,10205.48319,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,140,0.002162038,5.11e-07,0.000202267,1.18e-08,45287.58499,5292305.736,3028,0,10000,0,10000,1,0.772173,0,10000,10244.46242,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,169,0.002318447,5.72e-07,0.000238894,1.56e-08,44393.04641,4006891.312,2999,0,10000,0,10000,1,0.780369,0,10000,9829.421372,1,0,0,"Long term chasing"
"nos",6,0.0307,0,10000,1,155,0.002303756,7.07e-07,0.000222091,1.13e-08,44867.99435,5496573.524,3013,0,10000,0,10000,1,0.752683,0,10000,10176.72799,1,0,0,"Long term chasing"
