"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"nosF",6,0.0307,0,10000,1,75,0.01549342,5.81e-05,0.003514585,3.64e-06,26201.91,30196126.75,3093,0,10000,0,10000,1,0.863533,0,10000,3897.007369,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,68,0.015898014,6.67e-05,0.003731195,7.04e-06,25783.89535,19347541.69,3100,0,10000,0,10000,1,0.846002,0,10000,3795.256394,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,72,0.015380153,6.88e-05,0.003595368,5.42e-06,25607.17109,18738945.82,3096,0,10000,0,10000,1,0.899919,0,10000,3743.989123,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,66,0.015471433,0.000116955,0.003522939,1.5e-05,26211.42995,21474003.51,3102,0,10000,0,10000,1,0.896615,0,10000,3868.282428,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,70,0.01751662,0.000419696,0.004697192,9.99e-05,25656.81868,34732614.29,3098,0,10000,0,10000,1,0.877775,0,10000,3862.400384,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,73,0.016203556,0.000133134,0.00394028,1.55e-05,25550.80071,20847161.87,3095,0,10000,0,10000,1,0.828279,0,10000,3811.9344,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,73,0.015886327,0.000124428,0.003737347,9.33e-06,25957.43513,25351905.65,3095,0,10000,0,10000,1,0.85099,0,10000,3840.296735,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,67,0.016404183,8.39e-05,0.003578003,3.65e-06,25566.57023,19105262.81,3101,0,10000,0,10000,1,0.896547,0,10000,3741.249281,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,73,0.014885482,5.44e-05,0.003536319,3.86e-06,26011.08314,24482376.94,3095,0,10000,0,10000,1,0.873,0,10000,3844.60864,1,0,0,"Long term chasing"
"nosF",6,0.0307,0,10000,1,71,0.016607428,0.000193652,0.003709407,1.03e-05,25885.0721,27627722.24,3097,0,10000,0,10000,1,0.7766,0,10000,3892.22144,1,0,0,"Long term chasing"
