"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"nosF2",6,0.0307,1,226,1,59,0.064746507,0.001658655,0.023563865,0.00043769,17928.10526,197968148.8,156,0,10000,0,10000,0,10000,0,10000,3922.601064,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,2868,1,61,0.052616548,0.000804171,0.015421793,0.000110707,16859.78817,49397964.69,2794,0,10000,0,10000,0,10000,0,10000,2273.368458,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,642,1,66,0.064355873,0.004265841,0.021316918,0.000943965,16049.7585,57525644.9,563,0,10000,0,10000,0,10000,0,10000,2156.596315,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,1656,1,58,0.06420647,0.002684394,0.021359946,0.000461179,15703.95556,52164492.09,1579,0,10000,0,10000,0,10000,0,10000,2255.299568,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,299,1,61,0.074439621,0.002720236,0.024983432,0.000455538,16871.0991,113752111,226,0,10000,0,10000,0,10000,0,10000,3197.857143,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,343,1,56,0.059452858,0.002469319,0.018103618,0.000245321,16299.52574,76058899.2,276,0,10000,0,10000,0,10000,0,10000,2743.00974,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,451,1,56,0.086908142,0.003797004,0.032228621,0.000662982,12754.81003,69704207.77,383,0,10000,0,10000,0,10000,0,10000,2258.757794,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,724,1,61,0.066645035,0.004549727,0.020755037,0.000486265,18437.82817,131481809.9,650,0,10000,0,10000,0,10000,0,10000,3411.646199,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,1250,1,62,0.069958664,0.004598866,0.025272042,0.000984955,15615.69119,75273559.72,1173,0,10000,0,10000,0,10000,0,10000,2302.019818,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,95,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,1,2820,1,58,0.072831748,0.007671703,0.027479087,0.00210713,15472.5781,71408935.4,2745,0,10000,0,10000,0,10000,0,10000,2114.74452,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,430,1,61,0.089200982,0.008322692,0.032507784,0.001630151,13968.56695,91797334.25,355,0,10000,0,10000,0,10000,0,10000,2336.676093,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,139,1,65,0.120635518,0.005354714,0.02985497,0.000187584,10093.33929,19182722.9,60,0,10000,0,10000,0,10000,0,10000,2347.126316,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,1254,1,62,0.055877073,0.001586054,0.017868015,0.000205713,17205.05622,84439021.75,1178,0,10000,0,10000,0,10000,0,10000,2516.1723,0,0,0,"Suppression after chasing"
"nosF2",6,0.0307,1,89,0,10000,10000,10000,10000,10000,NA,NA,10000,0,10000,0,10000,0,10000,0,10000,NA,0,0,0,"Suppression without chasing"
"nosF2",6,0.0307,0,10000,1,57,0.063234859,0.002501898,0.021921393,0.000463783,15417.11876,68730036.89,3111,0,10000,0,10000,1,0.955008,0,10000,2126.325032,1,0,0,"Long term chasing"
