"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","average_number_of_fertile_females_during_chase","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome"
"zpgX",6,0.0307,0,10000,1,49,0.000741742,2.18e-06,0.000216654,4.86e-07,38923.12071,7667974.843,3119,0,10000,0,10000,1,0.581915,0,10000,5984.000318,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,52,0.000706206,9.72e-07,0.000181995,1.2e-07,38970.97911,4852840.04,3116,0,10000,0,10000,1,0.582909,0,10000,5981.059516,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000694355,1.07e-06,0.000192455,2.69e-07,38843.5249,6444347.503,3117,0,10000,0,10000,1,0.582474,0,10000,5931.275302,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,50,0.000656133,6.82e-07,0.000176697,1.57e-07,39020.49165,5973412.668,3118,0,10000,0,10000,1,0.570485,0,10000,5993.497614,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,63,0.000698205,2.69e-06,0.000185297,3.86e-07,39135.17091,4135331.533,3105,0,10000,0,10000,1,0.578038,0,10000,5966.640575,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,50,0.000720452,1.35e-06,0.000206806,3.13e-07,38878.02633,7579780.464,3118,0,10000,0,10000,1,0.586738,0,10000,5958.233853,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,54,0.000713851,1.74e-06,0.000210204,4.67e-07,39062.69228,6842470.517,3114,0,10000,0,10000,1,0.576626,0,10000,5986.524857,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,56,0.000655689,9.59e-07,0.000171493,1.52e-07,39048.88803,5126787.083,3112,0,10000,0,10000,1,0.581837,0,10000,5972.899618,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000648727,5.08e-07,0.000168564,1.03e-07,39014.64632,4834649.239,3117,0,10000,0,10000,1,0.571414,0,10000,5980.760025,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,47,0.000720747,1.67e-06,0.000187986,2.27e-07,39088.56272,5184384.543,3121,0,10000,0,10000,1,0.567558,0,10000,6030.010172,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000669341,7.56e-07,0.000174765,1.24e-07,39011.39351,4878792.174,3117,0,10000,0,10000,1,0.558106,0,10000,5986.86951,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,46,0.000698438,1.05e-06,0.000181061,1.43e-07,38983.07954,5026188.032,3122,0,10000,0,10000,1,0.581798,0,10000,5994.201779,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000657211,6.44e-07,0.000170504,1.18e-07,39093.85673,5027908.734,3117,0,10000,0,10000,1,0.573568,0,10000,6002.091054,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,52,0.000686382,9.91e-07,0.00018274,1.68e-07,38889.89814,5282910.21,3116,0,10000,0,10000,1,0.580154,0,10000,5938.784782,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000703292,1.22e-06,0.000196666,2.94e-07,38988.54256,6553825.304,3117,0,10000,0,10000,1,0.570792,0,10000,5975.079274,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,47,0.000659042,6.27e-07,0.000169701,1.01e-07,39034.12095,4724039.195,3121,0,10000,0,10000,1,0.585391,0,10000,6014.767715,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.000639748,8.04e-07,0.000170989,1.65e-07,39093.54031,5750234.392,3117,0,10000,0,10000,1,0.561064,0,10000,6004.290898,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,46,0.000733295,1.79e-06,0.000204108,3.93e-07,38940.33162,7413899.278,3122,0,10000,0,10000,1,0.566214,0,10000,5985.309917,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,51,0.00069594,1.52e-06,0.000190565,2.95e-07,39062.4751,5995946.713,3117,0,10000,0,10000,1,0.559048,0,10000,5993.250239,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000702116,1.33e-06,0.00019121,2.18e-07,39034.61605,5042593.408,3119,0,10000,0,10000,1,0.56281,0,10000,5997.666031,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000690692,8.85e-07,0.000183803,1.88e-07,38927.62889,5483610.268,3119,0,10000,0,10000,1,0.585305,0,10000,5960.785237,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000712269,1.65e-06,0.000203879,3.88e-07,38876.2488,6443277.003,3119,0,10000,0,10000,1,0.604476,0,10000,5947.561069,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,54,0.000641014,7.57e-07,0.000170491,1.86e-07,39097.53248,5450195.471,3114,0,10000,0,10000,1,0.579177,0,10000,5990.906658,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,50,0.000683354,1.05e-06,0.00018891,2.48e-07,38975.88215,5571475.426,3118,0,10000,0,10000,1,0.569663,0,10000,5981.975501,1,0,0,"Long term chasing"
"zpgX",6,0.0307,0,10000,1,49,0.000693154,1.34e-06,0.000184418,2.26e-07,39036.98652,5946389.293,3119,0,10000,0,10000,1,0.578674,0,10000,5997.608142,1,0,0,"Long term chasing"
