"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nosF",2,0.008,0,NA,1,56.55,0.00536342545,1.4965e-06,0.00217025405,2.7425e-07,27184.315516,7275056.339,NA,0,NA,0,NA,1,0.5133891,0,NA,1,0,0,0,0,0,0,0,1,9795.368318,NA,9795.368318,NA
"nosF",2,0.0118,0,NA,1,94.35,0.01362307435,1.2668e-05,0.0052625039,2.279e-06,22188.8395855,9823946.17875,NA,0,NA,0,NA,1,0.60032425,0,NA,1,0,0,0,0,0,0,0,1,7130.48617035,NA,7130.48617035,NA
"nosF",2,0.0156,0,NA,1,99.65,0.02219975925,6.271895e-05,0.00873694835,1.193e-05,18871.654962,17322801.768,NA,0,NA,0,NA,1,0.6119388,0,NA,1,0,0,0,0,0,0,0,1,5754.71775515,NA,5754.71775515,NA
"nosF",2,0.0194,0,NA,1,90.1,0.0292887157,0.00015375465,0.012263785,3.2965e-05,16523.31084,28241956.875,NA,0,NA,0,NA,1,0.65072395,0,NA,1,0,0,0,0,0,0,0,1,4935.07447545,NA,4935.07447545,NA
"nosF",2,0.0232,0,NA,1,82,0.0362814851,0.00040250975,0.01629876145,0.00010856725,14984.14009,44313879.4635,NA,0,NA,0,NA,1,0.63036715,0,NA,1,0,0,0,0,0,0,0,1,4502.61341295,NA,4502.61341295,NA
"nosF",2,0.027,0.25,850.4,0.9,79.2222222222222,0.0610234374444444,0.00351848172222222,0.0327574791666667,0.00227758205555556,13000.1071188889,62502299.4688889,1254.33333333333,0.1,312.5,0,NA,0.65,0.757406384615385,0,NA,0.65,0.1,0,0,0.15,0.1,0.1,0,0.65,4139.50861649541,4329.86661727413,4120.12909015385,4383.05997027372
"nosF",2,0.0308,0.4,822.125,0.85,73,0.0739878658235294,0.00558970488235294,0.0397475721176471,0.00250542417647059,11839.1526312353,86848754.5738824,1166.4,0.3,794.666666666667,0,NA,0.3,0.6607555,0,NA,0.3,0.3,0,0,0.25,0.3,0.15,0,0.3,3936.73500341028,4052.33991733537,3875.161503,4151.84602266032
"nosF",2,0.0346,0.7,846,0.7,70.7857142857143,0.0837472368571429,0.00832376207142857,0.0449984255714286,0.00247982664285714,9693.0021255,71799931.2846429,1320.5,0.25,794.2,0,NA,0.05,0.464414,0,NA,0.05,0.2,0.05,0.05,0.4,0.2,0.25,0.05,0.05,3536.36279732466,3497.75854962543,3708.405579,3220.92918239029
"nosF",2,0.0384,0.75,379.466666666667,0.5,65.8,0.0876788752,0.0074177292,0.0469566705,0.0027441735,9508.4169973,97521724.3871,630,0.25,476,0,NA,0,NA,0,NA,0,0.15,0.1,0,0.35,0.15,0.4,0.1,0,3419.18146292312,3419.18146292312,NA,3427.01134473061
"nosF",2,0.0422,0.95,311.578947368421,0.35,63.8571428571429,0.0653604498571429,0.003075287,0.037715875,0.00122181142857143,9718.00487842857,107027972.884286,715.833333333333,0.05,105,0,NA,0,NA,0,NA,0,0.05,0,0,0.3,0.05,0.65,0,0,3374.33186121272,3374.33186121272,NA,3363.80846508638
"nosF",2,0.046,0.95,184.368421052632,0.3,59.8333333333333,0.143178587666667,0.0163625725,0.0639780053333333,0.00224853466666667,5737.03850785,50535620.86214,925,0.05,215,0,NA,0,NA,0,NA,0,0.05,0,0.15,0.1,0.05,0.7,0,0,2984.81367534462,2984.81367534462,NA,2946.17941963459
"nosF",3,0.008,0,NA,1,65.65,0.0045158637,1.27685e-06,0.00132342185,1.2064e-07,32433.260601,5133858.37885,NA,0,NA,0,NA,1,0.60007775,0,NA,1,0,0,0,0,0,0,0,1,10453.061361,NA,10453.061361,NA
"nosF",3,0.0118,0,NA,1,86.45,0.0100510541,7.771e-06,0.00283974655,6.843e-07,28326.688861,7713983.8905,NA,0,NA,0,NA,1,0.6883955,0,NA,1,0,0,0,0,0,0,0,1,7784.92914485,NA,7784.92914485,NA
"nosF",3,0.0156,0,NA,1,96.15,0.01524732715,2.5495e-05,0.0044172342,2.4465e-06,24911.5061775,13547062.1372,NA,0,NA,0,NA,1,0.7246767,0,NA,1,0,0,0,0,0,0,0,1,6248.02013535,NA,6248.02013535,NA
"nosF",3,0.0194,0,NA,1,87.25,0.019758116,6.193705e-05,0.00603402735,6.6105e-06,22064.8729175,20310328.1575,NA,0,NA,0,NA,1,0.7414453,0,NA,1,0,0,0,0,0,0,0,1,5250.040272,NA,5250.040272,NA
"nosF",3,0.0232,0,NA,1,81,0.0238303251,0.00012440025,0.0077803228,1.5391e-05,19776.0642985,27806435.644,NA,0,NA,0,NA,1,0.77077535,0,NA,1,0,0,0,0,0,0,0,1,4564.86203685,NA,4564.86203685,NA
"nosF",3,0.027,0,NA,1,76.6,0.02668143895,0.00025126775,0.0095461011,4.41657e-05,17971.169999,38958611.1375,NA,0,NA,0,NA,1,0.7699636,0,NA,1,0,0,0,0,0,0,0,1,4069.72472565,NA,4069.72472565,NA
