"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"nosF3",2,0.008,0,NA,1,103.4,0.0181608362,1.986e-05,0.0081991484,5.003e-06,18738.1413705,8043420.18135,NA,0,NA,0,NA,1,0.52612955,0,NA,1,0,0,0,0,0,0,0,1,6075.8809227,NA,6075.8809227,NA
"nosF3",2,0.0118,0.05,1891,1,100.9,0.05734008255,0.0014067065,0.0273547783,0.00049132965,13514.120707,34520921.792,1767,0.05,725,0,NA,0.9,0.619011055555556,0,NA,0.9,0.05,0,0,0.05,0.05,0,0,0.9,4238.24729655962,4121.94850991906,4243.06969922222,4048.177839
"nosF3",2,0.0156,0.65,830.615384615385,0.85,86.2941176470588,0.148832593529412,0.0131281917647059,0.0894609315882353,0.00492214658823529,9077.41166133529,49708337.5590059,945.4,0.35,873.857142857143,0,NA,0,NA,0,NA,0,0.35,0,0,0.5,0.35,0.15,0,0,3516.70385278201,3516.70385278201,NA,3893.5793028963
"nosF3",2,0.0194,0.9,225.5,0.7,74.9285714285714,0.208553355785714,0.0195053027142857,0.110522574857143,0.00646986478571429,5938.83057154286,22535264.7394357,195.416666666667,0.1,156.5,0,NA,0,NA,0,NA,0,0.1,0,0,0.6,0.1,0.3,0,0,2462.53124104925,2462.53124104925,NA,2522.72051104435
"nosF3",2,0.0232,0.9,128.111111111111,0.5,68.2,0.2083157818,0.0159711162,0.1137842388,0.0047922717,3539.3825253,9984774.52778,87.25,0.1,124.5,0,NA,0,NA,0,NA,0,0.1,0,0,0.4,0.1,0.5,0,0,1903.17610450159,1903.17610450159,NA,1708.10329459713
"nosF3",2,0.027,0.9,151.111111111111,0.45,61.5555555555556,0.159903330444444,0.0174710018888889,0.0840764115555555,0.00381078366666667,5321.90865344444,24324594.1366667,174.285714285714,0.1,270,0,NA,0,NA,0,NA,0,0.1,0,0,0.35,0.1,0.55,0,0,1757.89775061845,1757.89775061845,NA,1901.72136519139
"nosF3",2,0.0308,0.95,96.2105263157895,0.25,55.4,0.3134946028,0.0489476066,0.149808521,0.019842605,3146.4694948,15354605.3436,88.3333333333333,0.05,83,0,NA,0,NA,0,NA,0,0.05,0,0.05,0.15,0.05,0.75,0,0,1930.40676469057,1930.40676469057,NA,1930.40676469057
"nosF3",2,0.0346,0.9,79.2777777777778,0.15,50.6666666666667,0.222959472,0.03132421,0.0646207913333333,0.00438042233333333,2897.586111,15856116.069,37,0.1,78.5,0,NA,0,NA,0,NA,0,0.1,0,0,0.05,0.1,0.85,0,0,3740.090909,3740.090909,NA,3740.090909
"nosF3",2,0.0384,0.95,85.6842105263158,0.2,52.25,0.13337498275,0.00870102475,0.06110438175,0.00183259275,3151.0510415,17190471.31,57,0.05,153,0,NA,0,NA,0,NA,0,0.05,0,0.05,0.1,0.05,0.8,0,0,1592.74730599038,1592.74730599038,NA,2004.15999689474
"nosF3",2,0.0422,0.9,74.0555555555556,0.2,52,0.222688411,0.02295051975,0.10974263625,0.006022398,2123.152987775,9920430.65691,NA,0.1,109.5,0,NA,0,NA,0,NA,0,0.1,0,0.1,0,0.1,0.8,0,0,2137.763636,2137.763636,NA,NA
"nosF3",2,0.046,0.95,75.1052631578947,0.15,46.6666666666667,0.197073796333333,0.020352831,0.0951955166666667,0.00720625033333333,2263.81089933333,19795714.8993333,66.5,0.05,82,0,NA,0,NA,0,NA,0,0.05,0,0,0.1,0.05,0.85,0,0,2132.99151083929,2132.99151083929,NA,2057.67875053383
"nosF3",3,0.008,0,NA,1,93.75,0.0143032216,1.08695e-05,0.00496921865,1.666e-06,23962.2558285,7033452.0144,NA,0,NA,0,NA,1,0.62781335,0,NA,1,0,0,0,0,0,0,0,1,6834.2346573,NA,6834.2346573,NA
"nosF3",3,0.0118,0,NA,1,96.85,0.04005615515,0.00027807295,0.0141179073,5.917325e-05,18170.254399,21403297.0065,NA,0,NA,0,NA,1,0.69225955,0,NA,1,0,0,0,0,0,0,0,1,4625.34639225,NA,4625.34639225,NA
"nosF3",3,0.0156,0.35,1152.57142857143,1,83.1,0.09821777045,0.00492002615,0.04482956175,0.0021196632,13035.58817215,40177051.387635,1055.42857142857,0.05,135,0,NA,0.6,0.777255083333333,0,NA,0.6,0.05,0,0,0.35,0.05,0,0,0.6,3464.20974504549,3046.12190082544,3545.66539541667,3055.91626755076
"nosF3",3,0.0194,0.95,468.368421052632,0.75,72.9333333333333,0.149743442533333,0.0173564907333333,0.0700047842666667,0.005172669,10160.4289396,59320480.2223333,510.571428571429,0.05,375,0,NA,0,NA,0,NA,0,0.05,0,0,0.7,0.05,0.25,0,0,2906.22657446458,2906.22657446458,NA,2899.9281850035
"nosF3",3,0.0232,0.9,180.555555555556,0.55,67.3636363636364,0.174134530636364,0.0156511738181818,0.0810931480909091,0.00526504909090909,7228.34903790909,33938479.4586364,205.375,0.1,333.5,0,NA,0,NA,0,NA,0,0.1,0,0.05,0.4,0.1,0.45,0,0,2269.75935067484,2269.75935067484,NA,2262.22016077931
"nosF3",3,0.027,0.95,123.578947368421,0.5,62,0.2615118889,0.0317268269,0.1123992214,0.00743337,4990.8060969,27631900.2785,85.7777777777778,0.05,117,0,NA,0,NA,0,NA,0,0.05,0,0,0.45,0.05,0.5,0,0,2141.51967935401,2141.51967935401,NA,2178.77174239508
"nosF3",3,0.0308,1,104.4,0.35,59.1428571428571,0.204302561428571,0.0189717884285714,0.0948616574285714,0.00526230785714286,5631.89218342857,27946418.8952857,75,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.3,0,0.65,0,0,2330.08523254222,2330.08523254222,NA,2330.08523254222
"nosF3",3,0.0346,1,107.95,0.25,53.8,0.180809533,0.0182805286,0.0799432628,0.0039680726,5316.4055874,37864888.928,112,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0.25,0,0.75,0,0,1759.54020214286,1759.54020214286,NA,1759.54020214286
"nosF3",3,0.0384,1,92.75,0.25,52.4,0.200880442,0.0268887276,0.0903054646,0.0022949328,4356.5771206,20483855.134876,82.25,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.2,0,0.75,0,0,1861.38262245046,1861.38262245046,NA,1861.38262245046
"nosF3",3,0.0422,1,101.15,0.2,50.75,0.1802875915,0.01777376025,0.0650384985,0.0016122695,5267.92188115,27128015.8811725,181.666666666667,0,NA,0,NA,0,NA,0,NA,0,0,0,0.05,0.15,0,0.8,0,0,1698.54489556881,1698.54489556881,NA,1698.54489556881
"nosF3",3,0.046,1,72.55,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA
"nosF3",4,0.008,0,NA,1,79.95,0.01309466825,9.6075e-06,0.00386656595,1.2232e-06,27287.308667,8072451.11855,NA,0,NA,0,NA,1,0.65570385,0,NA,1,0,0,0,0,0,0,0,1,7291.09495055,NA,7291.09495055,NA
"nosF3",4,0.0118,0,NA,1,94.25,0.0337874707,0.00014976685,0.0096561655,1.924e-05,22264.1719875,21344424.5895,NA,0,NA,0,NA,1,0.6965373,0,NA,1,0,0,0,0,0,0,0,1,5141.1632608,NA,5141.1632608,NA
"nosF3",4,0.0156,0.2,623,0.9,80.8888888888889,0.0608938656111111,0.00168776238888889,0.0205708011111111,0.000373540333333333,17253.1268155556,42444083.2894444,1015.5,0,NA,0,NA,0.8,0.737261125,0,NA,0.8,0,0,0,0.1,0,0.1,0,0.8,3689.52412097704,3503.7983438774,3696.9424865625,3503.7983438774
"nosF3",4,0.0194,0.85,730.764705882353,0.9,74.5555555555556,0.127164734277778,0.0124898957222222,0.0558969988888889,0.00434229588888889,11706.3752661111,49254144.9116667,725.466666666667,0.05,2492,0,NA,0.1,0.868263,0,NA,0.1,0.05,0,0,0.75,0.05,0.1,0,0.1,2824.87366284816,2836.65012508021,2800.2257275,2756.38564220382
"nosF3",4,0.0232,0.95,445.789473684211,0.7,66.7142857142857,0.155857209071429,0.0153607197142857,0.0732188208571429,0.00548620628571429,10394.2104682857,76359105.3636429,523.230769230769,0.05,566,0,NA,0,NA,0,NA,0,0.05,0,0,0.65,0.05,0.3,0,0,2729.82689174466,2729.82689174466,NA,2569.5926204212
"nosF3",4,0.027,0.95,242.684210526316,0.65,60.4615384615385,0.161752112230769,0.0159899053846154,0.069841578,0.00331232992307692,9635.31298176923,62574730.4231538,257.916666666667,0.05,468,0,NA,0,NA,0,NA,0,0.05,0,0,0.6,0.05,0.35,0,0,2524.02196267105,2524.02196267105,NA,2515.13688843942
