"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg",2,0.008,0,NA,1,119.35,0.000970796,1.0086e-07,0.0002693685,5.81e-09,39602.3113015,1358447.9106,NA,0,NA,0,NA,1,0.36824965,0,NA,1,0,0,0,0,0,0,0,1,13878.7846925,NA,13878.7846925,NA
"zpg",2,0.0118,0,NA,1,85.85,0.0018048964,5.3925e-07,0.0005455839,3.824e-08,36336.1974385,2294823.36185,NA,0,NA,0,NA,1,0.4871105,0,NA,1,0,0,0,0,0,0,0,1,10656.1134285,NA,10656.1134285,NA
"zpg",2,0.0156,0,NA,1,87.8,0.00233509745,1.25015e-06,0.00077112105,1.28725e-07,33564.4436335,3369129.58115,NA,0,NA,0,NA,1,0.5432556,0,NA,1,0,0,0,0,0,0,0,1,8894.83039415,NA,8894.83039415,NA
"zpg",2,0.0194,0,NA,1,96.05,0.0026205419,1.7075e-06,0.00093247815,2.7655e-07,31304.2434395,4527074.94265,NA,0,NA,0,NA,1,0.5692252,0,NA,1,0,0,0,0,0,0,0,1,7730.55577135,NA,7730.55577135,NA
"zpg",2,0.0232,0,NA,1,99.65,0.00277352135,3.2825e-06,0.0010516641,7.0555e-07,29595.3831595,6183980.37525,NA,0,NA,0,NA,1,0.59024195,0,NA,1,0,0,0,0,0,0,0,1,6961.53462925,NA,6961.53462925,NA
"zpg",2,0.027,0,NA,1,94.25,0.00282317365,5.4025e-06,0.0011241206,1.47015e-06,28221.951822,8622587.0423,NA,0,NA,0,NA,1,0.6086736,0,NA,1,0,0,0,0,0,0,0,1,6432.02563795,NA,6432.02563795,NA
"zpg",2,0.0308,0,NA,1,91.95,0.0026733494,5.2705e-06,0.0011051086,1.76325e-06,27203.985593,9790411.71235,NA,0,NA,0,NA,1,0.61649125,0,NA,1,0,0,0,0,0,0,0,1,6034.95553845,NA,6034.95553845,NA
"zpg",2,0.0346,0,NA,1,85.85,0.00271980145,1.10402e-05,0.00118828765,4.853e-06,26067.123288,12927029.7213,NA,0,NA,0,NA,1,0.62117615,0,NA,1,0,0,0,0,0,0,0,1,5693.55124735,NA,5693.55124735,NA
"zpg",2,0.0384,0,NA,1,80.05,0.00255961945,7.5995e-06,0.0011315449,2.79915e-06,25470.411865,13328517.1272,NA,0,NA,0,NA,1,0.63124275,0,NA,1,0,0,0,0,0,0,0,1,5487.70950705,NA,5487.70950705,NA
"zpg",2,0.0422,0,NA,1,80,0.0024604616,9.368e-06,0.0011248833,3.702e-06,24765.1129705,14677568.735,NA,0,NA,0,NA,1,0.63232115,0,NA,1,0,0,0,0,0,0,0,1,5265.5522972,NA,5265.5522972,NA
"zpg",2,0.046,0,NA,1,74.7,0.00233608105,1.1512e-05,0.00109348705,4.84725e-06,24320.6688175,16605801.396,NA,0,NA,0,NA,1,0.64138655,0,NA,1,0,0,0,0,0,0,0,1,5135.0116496,NA,5135.0116496,NA
"zpg",3,0.008,0,NA,1,126.45,0.00082042735,1.0301e-07,0.00013088795,1.7715e-09,44299.0926225,627013.73887,NA,0,NA,0,NA,1,0.425365,0,NA,1,0,0,0,0,0,0,0,1,14378.582513,NA,14378.582513,NA
"zpg",3,0.0118,0,NA,1,85.8,0.0012792974,4.5425e-07,0.0002175261,9.8675e-09,43417.128295,1194960.990605,NA,0,NA,0,NA,1,0.53193345,0,NA,1,0,0,0,0,0,0,0,1,11682.374755,NA,11682.374755,NA
