"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2X",2,0.008,0,NA,1,52.4,0.0032550851,5.9735e-07,0.0018206696,1.5715e-07,24465.9235215,5016762.9567,NA,0,NA,0,NA,1,0.35281955,0,NA,1,0,0,0,0,0,0,0,1,8008.1056943,NA,8008.1056943,NA
"zpg2X",2,0.0118,0,NA,1,78.1,0.00735248725,4.0745e-06,0.00413362735,1.09725e-06,18705.0868695,4330570.2719,NA,0,NA,0,NA,1,0.4516212,0,NA,1,0,0,0,0,0,0,0,1,5154.86714295,NA,5154.86714295,NA
"zpg2X",2,0.0156,0,NA,1,73.45,0.01080152305,1.3745e-05,0.0062368642,3.6865e-06,15315.328774,5731422.1092,NA,0,NA,0,NA,1,0.4920451,0,NA,1,0,0,0,0,0,0,0,1,3851.93036505,NA,3851.93036505,NA
"zpg2X",2,0.0194,0,NA,1,69.3,0.01347267025,3.258e-05,0.0080368829,9.4905e-06,12942.552557,7253514.18835,NA,0,NA,0,NA,1,0.51524335,0,NA,1,0,0,0,0,0,0,0,1,3072.44820285,NA,3072.44820285,NA
"zpg2X",2,0.0232,0,NA,1,65,0.01598847835,0.0001274079,0.00999977225,6.93811e-05,11068.256082,9158154.09895,NA,0,NA,0,NA,1,0.5171265,0,NA,1,0,0,0,0,0,0,0,1,2534.6468123,NA,2534.6468123,NA
"zpg2X",2,0.027,0,NA,1,62,0.0174721897,0.00015588065,0.0111908505,6.600725e-05,9724.7335736,10585067.0829,NA,0,NA,0,NA,1,0.5460677,0,NA,1,0,0,0,0,0,0,0,1,2173.0776753,NA,2173.0776753,NA
"zpg2X",2,0.0308,0,NA,1,59.55,0.01895446495,0.0001765093,0.0125525998,7.91241e-05,8642.2053278,13654635.7137,NA,0,NA,0,NA,1,0.515181,0,NA,1,0,0,0,0,0,0,0,1,1912.6890621,NA,1912.6890621,NA
"zpg2X",2,0.0346,0.15,103.333333333333,0.95,55.5263157894737,0.0547846557894737,0.00848160736842105,0.0372369137894737,0.00464858484210526,7045.14059650526,13079378.9617105,48.5,0,NA,0,NA,0.85,0.568965176470588,0,NA,0.85,0,0,0,0.1,0,0.05,0,0.85,1711.76457320479,1509.41867518557,1712.12787147059,1509.41867518557
"zpg2X",2,0.0384,0.1,110.5,0.95,53.6315789473684,0.0497071465263158,0.00373732073684211,0.0353791001052632,0.00156861378947368,6647.83108982105,24141510.7956563,43,0.1,156,0,NA,0.8,0.555413125,0,NA,0.8,0.05,0.05,0,0.1,0.05,0,0.05,0.8,1538.68731889685,3330.41615216794,1529.4552359375,905.940552325581
"zpg2X",2,0.0422,0.2,74.5,0.8,52.5,0.0391372569375,0.0022224998125,0.026572403375,0.0009733065625,5517.8144559625,11604090.0847881,NA,0.1,78,0,NA,0.7,0.602132857142857,0,NA,0.7,0.05,0.05,0.05,0,0.05,0.15,0.05,0.7,1324.04689464286,NA,1324.04689464286,NA
"zpg2X",2,0.046,0.3,80.8333333333333,0.7,56.2142857142857,0.0304438540714286,0.000734525142857143,0.0230255025,0.000544373071428571,5660.6632745,21096742.3420714,64,0.15,156,0,NA,0.55,0.585693272727273,0,NA,0.55,0.1,0.05,0,0.05,0.1,0.25,0.05,0.55,1300.38886634713,1461.07811433894,1298.74786681818,640
"zpg2X",3,0.008,0,NA,1,67.7,0.00227146945,5.1295e-07,0.00101727345,6.6555e-08,29006.9679115,2600282.62125,NA,0,NA,0,NA,1,0.4314753,0,NA,1,0,0,0,0,0,0,0,1,8359.2904634,NA,8359.2904634,NA
"zpg2X",3,0.0118,0,NA,1,72.95,0.0037579519,1.957e-06,0.0017589403,3.3245e-07,25076.3271815,2953887.67215,NA,0,NA,0,NA,1,0.5103248,0,NA,1,0,0,0,0,0,0,0,1,5822.24437105,NA,5822.24437105,NA
"zpg2X",3,0.0156,0,NA,1,71.25,0.00451495445,3.786e-06,0.0022419535,8.156e-07,22427.4110105,3549889.9063,NA,0,NA,0,NA,1,0.5638012,0,NA,1,0,0,0,0,0,0,0,1,4586.57678215,NA,4586.57678215,NA
"zpg2X",3,0.0194,0,NA,1,65.9,0.00503987625,6.42e-06,0.0026157235,1.7545e-06,20307.746138,4176454.19325,NA,0,NA,0,NA,1,0.5799364,0,NA,1,0,0,0,0,0,0,0,1,3836.3146071,NA,3836.3146071,NA
"zpg2X",3,0.0232,0,NA,1,62.9,0.005394823,1.39415e-05,0.00291314945,4.3335e-06,18580.507743,5111090.66535,NA,0,NA,0,NA,1,0.59357085,0,NA,1,0,0,0,0,0,0,0,1,3317.939741,NA,3317.939741,NA
