"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpgX",2,0.008,0,NA,1,62.85,0.0021945346,3.1795e-07,0.00122606125,7.7315e-08,26851.907763,3476012.79,NA,0,NA,0,NA,1,0.3314543,0,NA,1,0,0,0,0,0,0,0,1,8554.714136,NA,8554.714136,NA
"zpgX",2,0.0118,0,NA,1,73.15,0.00431706605,1.579e-06,0.00249149505,4.2615e-07,21302.4084195,2984110.28005,NA,0,NA,0,NA,1,0.42836385,0,NA,1,0,0,0,0,0,0,0,1,5564.17779175,NA,5564.17779175,NA
"zpgX",2,0.0156,0,NA,1,71.6,0.0057747605,4.4565e-06,0.0034844747,1.32745e-06,17798.6435285,3754755.2464,NA,0,NA,0,NA,1,0.45981545,0,NA,1,0,0,0,0,0,0,0,1,4158.9241791,NA,4158.9241791,NA
"zpgX",2,0.0194,0,NA,1,65.65,0.00689959575,9.399e-06,0.00433400055,2.927e-06,15206.330566,4434956.1289,NA,0,NA,0,NA,1,0.48687185,0,NA,1,0,0,0,0,0,0,0,1,3312.24769815,NA,3312.24769815,NA
"zpgX",2,0.0232,0,NA,1,62.7,0.0077382982,1.672e-05,0.0050286276,5.9635e-06,13284.1256265,4832096.1701,NA,0,NA,0,NA,1,0.5000677,0,NA,1,0,0,0,0,0,0,0,1,2760.090688,NA,2760.090688,NA
"zpgX",2,0.027,0,NA,1,58.95,0.00850130795,2.722e-05,0.00569034045,1.1293e-05,11743.786631,5959962.47825,NA,0,NA,0,NA,1,0.5245586,0,NA,1,0,0,0,0,0,0,0,1,2367.4202492,NA,2367.4202492,NA
"zpgX",2,0.0308,0,NA,1,56.25,0.0084921941,2.6265e-05,0.00585624105,1.11495e-05,10459.9945505,5624967.56885,NA,0,NA,0,NA,1,0.5324931,0,NA,1,0,0,0,0,0,0,0,1,2044.6800986,NA,2044.6800986,NA
"zpgX",2,0.0346,0,NA,0.95,54.2631578947368,0.00888840847368421,4.66859473684211e-05,0.00626711068421053,2.27207368421053e-05,9438.79518321053,6433315.93957895,NA,0.05,81,0,NA,0.95,0.537433473684211,0,NA,0.95,0,0.05,0,0,0,0,0.05,0.95,1812.48427784211,NA,1812.48427784211,NA
"zpgX",2,0.0384,0,NA,1,53.55,0.00934795735,6.845395e-05,0.0067373403,4.014095e-05,8590.7316527,6530278.09195,NA,0,NA,0,NA,1,0.53698625,0,NA,1,0,0,0,0,0,0,0,1,1628.02460995,NA,1628.02460995,NA
"zpgX",2,0.0422,0,NA,0.95,50.4736842105263,0.00919336994736842,6.2924e-05,0.00670902152631579,3.45815789473684e-05,7937.36030294737,6932885.02773684,NA,0.05,76,0,NA,0.95,0.542469421052632,0,NA,0.95,0,0.05,0,0,0,0,0.05,0.95,1489.19132873684,NA,1489.19132873684,NA
"zpgX",2,0.046,0.1,76.5,0.95,48.7368421052632,0.0161546695263158,0.000397366368421053,0.0116227683157895,0.000300751947368421,6642.25302267368,6571871.44722632,NA,0.05,78,0,NA,0.85,0.524998294117647,0,NA,0.85,0.05,0,0.05,0,0.05,0.05,0,0.85,1361.93793494118,NA,1361.93793494118,NA
"zpgX",3,0.008,0,NA,1,73.3,0.00141617055,2.7155e-07,0.00062080415,2.9625e-08,32010.097482,1810251.03304,NA,0,NA,0,NA,1,0.3942929,0,NA,1,0,0,0,0,0,0,0,1,9056.6833354,NA,9056.6833354,NA
"zpgX",3,0.0118,0,NA,1,71.1,0.0020460134,8.9995e-07,0.0009487703,1.2238e-07,28800.990065,2039681.73585,NA,0,NA,0,NA,1,0.4785109,0,NA,1,0,0,0,0,0,0,0,1,6463.57167185,NA,6463.57167185,NA
"zpgX",3,0.0156,0,NA,1,68.15,0.00233255475,1.56805e-06,0.00114952655,3.185e-07,26567.371986,2781579.4471,NA,0,NA,0,NA,1,0.51454205,0,NA,1,0,0,0,0,0,0,0,1,5253.287295,NA,5253.287295,NA
"zpgX",3,0.0194,0,NA,1,64.8,0.00242335625,2.126e-06,0.0012459256,5.8745e-07,24981.285852,3351360.9262,NA,0,NA,0,NA,1,0.53253465,0,NA,1,0,0,0,0,0,0,0,1,4569.27936385,NA,4569.27936385,NA
"zpgX",3,0.0232,0,NA,1,60,0.0023951059,3.343e-06,0.0012681427,1.08655e-06,23877.726309,4072278.987,NA,0,NA,0,NA,1,0.5479543,0,NA,1,0,0,0,0,0,0,0,1,4152.2153434,NA,4152.2153434,NA
"zpgX",3,0.027,0,NA,1,58.45,0.0023641805,5.067e-06,0.00128001645,1.86845e-06,23034.610899,4952847.2684,NA,0,NA,0,NA,1,0.5588472,0,NA,1,0,0,0,0,0,0,0,1,3865.77254315,NA,3865.77254315,NA
"zpgX",3,0.0308,0,NA,1,56.7,0.0022535523,7.8445e-06,0.0012369472,3.104e-06,22433.576922,5447508.3094,NA,0,NA,0,NA,1,0.56081865,0,NA,1,0,0,0,0,0,0,0,1,3667.70458585,NA,3667.70458585,NA
