,TAREdropratio,HOMSdropratio,HOMSembryocut,HOMSconversionrate,Lowdensitygrowthrate,suppressed,gen_suppressed,HOMSdropgen,confined_drive_success,gen_confined_drive_success,confined_drive_lost,gen_confined_drive_lost,r1_resistance,gen_r1_resistance,suppression_drive_lost,gen_suppression_drive_lost,hr1_resistance,gen_hr1_resistance,avg_female_fertile,stopped_1000,rate_at_stop,hrate_at_stop,confined_drive_avg_frequency_in_last_100_generations,suppression_drive_avg_frequency_in_last_100_generations
0,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
1,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
2,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
3,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
4,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
5,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
6,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
7,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
8,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
9,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
10,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
11,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
12,0.0,0.01,0.0,1.0,6.0,0,10000,0.0,0,10000,1,1,0,10000,0,10000,0,10000,1000000,0,10000.0,10000.0,10000.0, 10000
