week,drive_carrier,pop_size,female,drop_size,sampling.drive,sampling.female,num,sem_drive,sem_female,sem_femaleratio
0,0.040404,1980,780,80,0.03333333333333330,844.8000000000000,1,NA,NA,
1,0.107143,2240,820,140,0.16,806.4,1,NA,NA,
2,0.114286,2100,720,80,0.12666666666666700,742,1,NA,NA,
3,0.132075,2120,780,80,0.11333333333333300,848,1,NA,NA,
4,0.165138,2180,840,120,0.21333333333333300,872,1,NA,NA,
5,0.247706,2180,740,140,0.26,857.4666666666670,1,NA,NA,
6,0.220183,2180,640,140,0.21333333333333300,639.4666666666670,1,NA,NA,
7,0.25,2240,660,140,0.22666666666666700,686.9333333333330,1,NA,NA,
8,0.254902,2040,640,140,0.2733333333333330,788.8,1,NA,NA,
9,0.267327,2020,680,140,0.29333333333333300,592.5333333333330,1,NA,NA,
10,0.388889,2520,800,460,0.4133333333333330,789.6,1,NA,NA,
11,0.477273,2640,760,360,0.5466666666666670,633.6,1,NA,NA,
12,0.64,3000,780,660,0.7066666666666670,700,1,NA,NA,
13,0.68125,3200,660,540,0.64,789.3333333333330,1,NA,NA,
14,0.757764,3220,760,400,0.7333333333333330,966,1,NA,NA,
15,0.768707,2940,680,460,0.7466666666666670,921.2,1,NA,NA,
16,0.779412,2720,640,460,0.8466666666666670,707.2,1,NA,NA,
17,0.815603,2820,680,620,0.8533333333333330,564,1,NA,NA,
18,0.785714,2800,640,440,0.7266666666666670,802.6666666666670,1,NA,NA,
19,0.828767,2920,660,600,0.8266666666666670,486.66666666666700,1,NA,NA,
20,0.880282,2840,400,580,0.9,378.6666666666670,1,NA,NA,
21,0.891667,2400,340,480,0.9066666666666670,384,1,NA,NA,
22,0.931034,2320,180,740,0.94,247.46666666666700,1,NA,NA,
23,0.932692,2080,100,600,0.9066666666666670,138.66666666666700,1,NA,NA,
24,0.972477,2180,60,920,0.98,58.13333333333330,1,NA,NA,
25,0.990196,2040,20,520,1,27.200000000000000,1,NA,NA,
26,0.988506,1740,20,480,0.9866666666666670,23.200000000000000,1,NA,NA,
0,0.0444444,1800,540,80,0.05333333333333330,540,2,NA,NA,
1,0.12,2000,480,140,0.11333333333333300,493.33333333333300,2,NA,NA,
