,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,1934,979,228.571,0
1,0.0,1935,988,228.571,0
2,0.0,1980,1002,228.571,0
3,0.0,1923,984,228.571,0
4,0.0,2020,1048,228.571,0
5,0.0,1888,991,228.571,0
6,0.0,1945,1002,228.571,0
7,0.0,1962,994,228.571,0
8,0.0,1955,1026,228.571,0
9,0.0,1953,1003,228.571,0
10,0.00558372,2009,1020,228.571,0
11,0.176172,2218,994,228.571,0
12,0.323388,2433,986,228.571,0
13,0.458199,2619,899,228.571,0
14,0.521657,2906,846,228.571,0
15,0.554773,3234,773,228.571,0
16,0.625328,3587,744,228.571,0
17,0.657115,3854,658,228.571,0
18,0.678533,4068,580,228.571,0
19,0.726658,4264,525,228.571,0
20,0.721096,4348,460,228.571,0
21,0.755931,4398,433,228.571,0
22,0.74899,4321,388,228.571,0
23,0.777928,4246,376,228.571,0
24,0.78787,4073,326,228.571,0
25,0.805709,3948,282,228.571,0
26,0.811656,3539,231,228.571,0
27,0.796783,3059,195,228.571,0
28,0.835188,2637,171,228.571,0
29,0.765904,2301,121,228.571,0
30,0.804751,1913,117,228.571,0
31,0.682835,1632,99,228.571,0
32,0.735434,1425,117,228.571,0
33,0.719218,1361,108,228.571,0
34,0.721415,1288,106,228.571,0
35,0.726353,1207,109,228.571,0
36,0.683142,1185,136,228.571,0
37,0.697235,1296,158,228.571,0
38,0.652298,1426,170,228.571,0
39,0.672135,1483,178,228.571,0
40,0.660638,1627,195,228.571,0
41,0.630821,1741,208,228.571,0
42,0.625339,1845,225,228.571,0
43,0.62488,2025,250,228.571,0
44,0.594375,2117,285,228.571,0
45,0.588223,2295,326,228.571,0
46,0.595216,2505,380,228.571,0
47,0.562126,2681,430,228.571,0
48,0.545131,2901,487,228.571,0
49,0.568574,3151,544,228.571,0
50,0.545422,3402,582,228.571,0
51,0.548509,3534,627,228.571,0
52,0.524138,3574,636,228.571,0
53,0.530903,3672,706,228.571,0
54,0.529656,3693,744,228.571,0
55,0.50034,3674,762,228.571,0
56,0.494238,3512,742,228.571,0
57,0.481843,3475,772,228.571,0
58,0.470234,3390,769,228.571,0
59,0.480871,3380,743,228.571,0
60,0.456297,3360,767,228.571,0
61,0.466448,3406,818,228.571,0
62,0.415069,3256,793,228.571,0
63,0.423916,3237,809,228.571,0
64,0.414665,3139,788,228.571,0
65,0.406215,3075,795,228.571,0
66,0.417815,3156,835,228.571,0
67,0.382041,3173,859,228.571,0
68,0.371936,3066,846,228.571,0
69,0.380253,3061,861,228.571,0
70,0.363465,3076,893,228.571,0
71,0.373356,2943,873,228.571,0
72,0.368666,2927,885,228.571,0
73,0.386414,2926,885,228.571,0
74,0.377237,2882,880,228.571,0
75,0.373109,2844,863,228.571,0
76,0.362363,2829,842,228.571,0
77,0.33766,2943,865,228.571,0
78,0.344448,2945,874,228.571,0
79,0.343272,2966,911,228.571,0
80,0.336716,2878,852,228.571,0
81,0.342483,2894,886,228.571,0
82,0.332594,2873,869,228.571,0
83,0.308968,2852,893,228.571,0
84,0.287742,2872,879,228.571,0
85,0.294446,2812,871,228.571,0
86,0.269011,2873,916,228.571,0
87,0.288042,2758,891,228.571,0
88,0.230023,2700,925,228.571,0
89,0.244822,2652,940,228.571,0
