,drive_carrier,pop_size,fertile_female,drop_size,suppressed
0,0.0,1956,1008,400.0,0
1,0.0,1894,958,400.0,0
2,0.0,1996,997,400.0,0
3,0.0,2031,989,400.0,0
4,0.0,2061,1008,400.0,0
5,0.0,1988,977,400.0,0
6,0.0,2104,1048,400.0,0
7,0.0,1989,989,400.0,0
8,0.0,1967,976,400.0,0
9,0.0,2046,1038,400.0,0
10,0.0103829,1903,964,400.0,0
11,0.25152,2385,1019,400.0,0
12,0.451127,2710,930,400.0,0
13,0.540278,3120,819,400.0,0
14,0.62108,3576,734,400.0,0
15,0.680042,4008,671,400.0,0
16,0.725516,4447,633,400.0,0
17,0.764562,4657,546,400.0,0
18,0.764273,4808,460,400.0,0
19,0.777699,4866,389,400.0,0
20,0.799597,4755,356,400.0,0
21,0.79858,4661,312,400.0,0
22,0.8185,4498,275,400.0,0
23,0.859151,4345,250,400.0,0
24,0.848028,4119,195,400.0,0
25,0.84389,3868,161,400.0,0
26,0.849678,3203,145,400.0,0
27,0.847226,2625,122,400.0,0
28,0.813833,2129,95,400.0,0
29,0.757495,1705,96,400.0,0
30,0.680221,1349,102,400.0,0
31,0.63411,1161,110,400.0,0
32,0.593231,1136,131,400.0,0
33,0.456795,1179,188,400.0,0
34,0.406644,1466,296,400.0,0
35,0.339501,1868,467,400.0,0
36,0.282228,2445,706,400.0,0
37,0.250544,2861,910,400.0,0
38,0.231472,2981,997,400.0,0
39,0.202661,2816,971,400.0,0
40,0.165852,2622,934,400.0,0
41,0.127068,2631,970,400.0,0
42,0.0986113,2531,986,400.0,0
43,0.093333,2351,967,400.0,0
44,0.0798003,2267,955,400.0,0
45,0.0656057,2270,1011,400.0,0
46,0.0663777,2168,1007,400.0,0
47,0.0582535,2058,927,400.0,0
48,0.0490559,2149,981,400.0,0
49,0.03504,2153,983,400.0,0
50,0.0247639,2160,1008,400.0,0
51,0.023216,2120,1012,400.0,0
52,0.0178581,2060,993,400.0,0
53,0.0178994,2019,973,400.0,0
54,0.0135242,2024,987,400.0,0
55,0.0108539,1972,979,400.0,0
56,0.00978689,1967,1000,400.0,0
57,0.00509492,1998,1028,400.0,0
58,0.00864107,1918,970,400.0,0
59,0.00495452,2069,1020,400.0,0
60,0.00580266,1985,954,400.0,0
61,0.00327812,2085,1021,400.0,0
62,0.00165042,2005,988,400.0,0
63,0.00401626,2031,1020,400.0,0
64,0.00235276,1978,990,400.0,0
65,0.00215713,1958,974,400.0,0
66,0.00200401,2056,1035,400.0,0
67,0.00160936,1984,1001,400.0,0
68,7.40997e-05,2033,1020,400.0,0
69,0.00106444,1995,1024,400.0,0
70,5.08208e-05,1947,997,400.0,0
71,5.02538e-05,1937,1008,400.0,0
72,2.55558e-05,1902,986,400.0,0
73,2.58846e-05,1901,983,400.0,0
74,2.49134e-05,1979,1014,400.0,0
75,2.5943e-05,1970,985,400.0,0
76,0.0,2048,1025,400.0,0
77,0.0,1961,983,400.0,0
78,0.0,1993,1005,400.0,0
79,0.0,2059,1048,400.0,0
80,0.0,1883,962,400.0,0
81,0.0,1981,990,400.0,0
82,0.0,1970,999,400.0,0
83,0.0,1950,993,400.0,0
84,0.0,1923,967,400.0,0
85,0.0,2006,994,400.0,0
86,0.0,2049,1034,400.0,0
87,0.0,1902,979,400.0,0
88,0.0,1976,973,400.0,0
89,0.0,2096,1036,400.0,0
