suppressed,gen_suppressed, avg_gen,avg_adult, avg_adult_fe, avg_fertile_fe, avg_rate_dr, avg_has_dr, min_adult2, min_adult_fe2, min_fertile_fe2, max_rate_dr2, max_has_dr2,release,conversion,migration
0,10000,200.0,100013.08888888889,50010.474074074074,50010.474074074074,0.0,0.0,98810,49505,49505,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99986.12592592592,50002.2962962963,50002.2962962963,0.0,0.0,98975,49593,49593,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99971.45925925925,49997.607407407406,49997.607407407406,0.0,0.0,98876,49481,49481,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99938.65925925926,50008.68148148148,50008.68148148148,0.0,0.0,98806,49528,49528,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100007.52592592593,50001.03703703704,50001.03703703704,0.0,0.0,98926,49489,49489,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99934.08148148148,50010.40740740741,50010.40740740741,0.0,0.0,98982,49502,49502,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100029.54814814815,49986.34814814815,49986.34814814815,0.0,0.0,98965,49468,49468,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99975.00740740741,49999.46666666667,49999.46666666667,0.0,0.0,99021,49656,49656,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99991.60740740741,49998.97037037037,49998.97037037037,0.0,0.0,98968,49469,49469,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100010.44444444444,49981.19259259259,49981.19259259259,0.0,0.0,99116,49545,49545,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99939.88888888889,50003.525925925926,50003.525925925926,0.0,0.0,98870,49564,49564,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100020.71111111112,50004.73333333333,50004.73333333333,0.0,0.0,98791,49592,49592,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99997.12592592592,49990.066666666666,49990.066666666666,0.0,0.0,99156,49544,49544,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99984.68148148149,50001.43703703704,50001.43703703704,0.0,0.0,98845,49486,49486,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,99997.31851851851,49999.99259259259,49999.99259259259,0.0,0.0,99085,49617,49617,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100029.15555555555,49989.229629629626,49989.229629629626,0.0,0.0,98742,49528,49528,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100067.14074074074,49996.34074074074,49996.34074074074,0.0,0.0,98973,49391,49391,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100016.51111111112,49987.46666666667,49987.46666666667,0.0,0.0,98930,49532,49532,0.0,0.0,0.0,0.0,0.0
0,10000,200.0,100079.0,50006.444444444445,50006.444444444445,0.0,0.0,98575,49452,49452,0.0,0.0,0.0,0.0,0.0
